Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
0	504.350	462.309	-1475.400	14.710	0	570.613	569.551	-1517.925	15.557	46	133.041374609555	49.8603198764667	69.6739130434783
1	440.588	409.634	-1457.275	16.629	0	546.412	466.498	-1605.630	14.426	50	190.896410382699	94.3571615938488	54.361147327249
2	-248.825	855.400	-828.075	16.056	0	-231.981	857.435	-760.965	13.526	24	86.5067762952707	51.4601722070068	43.2083333333333
3	383.738	239.699	-1333.585	13.757	0	511.362	160.067	-1356.755	13.181	45	152.203776891377	51.4486702526159	20.9333333333333
4	-480.530	270.091	-1563.345	11.809	0	-569.399	266.390	-1655.520	11.399	31	128.092260449256	80.5576608969129	16.6871508379888
5	195.062	409.942	-1578.970	13.199	0	199.138	568.100	-1554.965	11.428	29	160.021269726871	61.5555941392167	25.0689655172414
6	-66.624	744.261	-1798.425	14.454	0	-81.288	707.836	-1867.205	12.754	32	87.8613978092769	650.042651387081	56.8227848101266
7	288.050	431.344	-1707.605	15.511	0	408.800	503.577	-1888.365	12.830	58	250.743498551807	115.17014345105	53.1275720164609
8	313.750	404.346	-1644.510	15.427	0	308.600	520.045	-1876.045	10.625	56	260.110050611275	60.3798255321421	70.1428571428571
9	393.463	423.874	-1580.775	15.349	0	412.750	460.915	-1688.285	14.174	40	115.336135491007	40.0436113586303	76.45
10	-106.370	767.757	-1762.970	11.532	0	-22.655	880.381	-2048.545	11.340	62	318.190897459371	64.5412176277168	56.5161290322581
11	326.250	777.763	-771.175	13.139	0	412.050	843.597	-787.195	13.141	56	115.899873485694	39.6604632043759	87
12	328.050	329.877	-1592.410	17.364	0	372.075	196.336	-1801.195	11.285	57	251.71923949313	70.2022369936997	56.8451025056948
13	2.249	503.121	-1724.425	16.804	0	-17.456	625.434	-1912.845	12.647	44	225.50133789847	71.9959236909565	72.0454545454545
14	294.537	747.259	-781.460	14.752	0	429.512	876.010	-740.365	14.279	72	191.007512027669	34.8164854050369	87.3472222222222
15	399.700	1004.051	-1703.565	11.599	0	461.425	953.804	-1665.330	11.823	36	93.9171857595829	52.6967139825524	71.2653721682848
16	422.075	1052.576	-1699.280	13.252	0	502.875	1036.705	-1637.445	11.550	49	103.083627337226	92.5375690651977	55.5563139931741
17	491.475	805.564	-874.960	14.897	0	509.425	847.545	-926.745	14.630	60	104.103350575282	72.179092100614	71.7470588235294
18	64.454	52.674	-783.495	16.617	0	-47.775	50.326	-772.920	11.681	23	112.750575031793	60.7789340811268	28.4347826086957
19	531.850	854.048	-905.740	13.919	0	687.250	943.613	-986.615	15.219	118	217.382744331283	45.0818915724931	60.3895734597156
20	140.266	99.713	-815.410	17.678	0	122.674	80.215	-677.580	9.184	32	140.309512749492	51.8768543008702	33.9375
21	219.188	1045.994	-1762.635	16.176	0	230.538	1023.982	-1788.445	11.891	26	51.6331764469318	37.1354520010413	66.5
22	210.625	1070.741	-1781.690	15.282	0	413.825	1098.315	-1803.865	13.985	96	206.257838883762	62.0587690955043	62.8168316831683
23	267.000	1035.726	-1762.780	13.601	0	361.475	1020.994	-1819.735	12.145	58	111.294337115596	210.833309908599	67.1730769230769
24	-22.678	895.789	-1813.340	14.475	0	370.925	1131.027	-2077.715	14.088	116	541.122041396393	88.9293292857854	77.3035294117647
25	51.961	901.960	-1817.095	14.193	0	145.910	921.646	-1904.295	10.469	35	129.683434551218	91.1232285215848	73.2108843537415
26	44.595	969.173	-1806.465	15.712	0	67.919	939.108	-1896.555	11.662	34	97.7963256007097	178.111425743307	71.3167701863354
27	127.227	493.708	-1728.710	16.640	0	130.891	526.614	-1773.820	16.908	28	55.9566066876825	47.2065105273182	90.4642857142857
28	396.050	507.642	-907.955	15.244	0	499.550	465.283	-879.295	16.756	59	115.446656430578	43.5750772118434	69.406779661017
29	32.903	1067.062	-1790.485	10.475	0	97.981	1098.952	-1839.760	13.034	21	87.6364296910823	46.5679509362624	35.7619047619048
30	49.335	457.829	-1706.485	17.633	0	72.190	506.837	-1722.540	16.604	22	56.4083160003913	37.9301686120268	80.5
31	-273.963	823.293	-1662.875	13.752	0	-245.696	1018.589	-2125.860	13.452	78	503.28387728001	87.654367186669	38.5165562913907
32	-317.358	855.640	-1613.525	13.278	0	-328.067	1009.649	-2030.220	12.535	83	453.989802028636	68.084542553403	26.9518072289157
33	-298.385	842.911	-1633.080	12.392	0	-327.893	960.176	-1825.670	11.912	43	227.404288413829	133.937667036666	32.0394088669951
34	-305.075	978.166	-1598.675	14.041	0	-284.443	1085.362	-1716.085	12.547	33	160.745430606907	64.9564443601925	31.6969696969697
35	21.344	1139.549	-1754.130	11.850	0	38.185	1162.227	-1780.330	11.781	20	57.3169762461348	62.3251536590161	22.3
36	51.654	517.310	-1748.160	16.796	0	14.923	536.805	-1758.940	16.905	24	71.1360208825317	46.3759637806825	99.9166666666667
37	-296.059	678.636	-1662.295	13.846	0	-303.716	678.018	-1770.305	11.776	23	108.282831847897	60.4141718525102	30.4347826086957
38	-166.054	1380.350	-1510.135	14.508	0	-161.999	1438.487	-1583.150	12.141	38	96.3890321613408	52.5121000660274	10.6315789473684
39	400.288	422.843	-1007.150	15.772	0	521.025	446.145	-761.170	12.103	77	284.703037110601	71.7716337194355	67.1832543443918
40	-35.825	176.906	-1786.415	17.678	0	-58.543	109.075	-1976.405	13.545	44	203.01071938447	57.544373925463	38.1818181818182
41	471.650	465.866	-1020.375	15.407	0	595.562	571.341	-999.215	11.050	39	164.094195415316	51.5293723762669	58.4358974358974
42	512.525	494.395	-1141.710	14.060	0	547.562	531.142	-1211.675	12.882	21	86.4467153974053	39.3757069570653	23.6666666666667
43	95.816	440.743	-1758.090	17.678	0	41.501	435.091	-1827.165	14.805	22	88.0535061993559	59.5734531504362	73.5454545454545
44	350.388	473.169	-855.390	14.155	0	362.413	578.601	-754.870	15.038	53	162.738004190785	58.0425502737319	82.9056603773585
45	-51.455	301.391	-808.320	14.155	0	-118.655	314.658	-778.000	15.709	23	74.9076477337261	47.468516963264	60.2608695652174
46	-9.793	427.501	-782.680	16.520	0	-116.212	406.595	-632.770	16.647	40	194.451553524265	59.5022777200503	60.45
47	-442.930	901.375	-1504.600	14.412	0	-466.045	904.374	-1562.155	13.043	28	107.382346901155	72.5578774481888	16.8571428571429
48	341.450	1130.308	-808.810	12.188	0	368.012	1057.644	-898.620	14.290	118	133.272782967866	71.8202540591535	57.392061563386
49	523.887	712.178	-934.510	14.919	0	599.025	785.394	-1015.235	12.568	57	132.373816614163	39.4010909728311	68.5614035087719
