Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
41	-587.355	1343.025	244.436	16.427	0	-660.079	1410.441	244.740	15.517	118	162.274572542959	716.712583495952	84.6750106067034
42	-497.588	1329.384	308.202	16.527	0	-569.170	1412.184	217.955	11.177	32	167.517154049966	82.7193023215154	64.21875
43	-502.913	1343.686	251.009	15.808	0	-568.835	1399.646	237.871	15.308	21	90.9619001010863	58.4969443329615	78.5714285714286
44	-359.736	1313.849	400.250	15.667	0	-502.627	1386.134	202.644	14.905	44	260.978608385822	108.730287080891	69.5999099909991
45	-628.089	864.235	201.795	16.222	0	-448.405	843.655	103.145	16.926	118	208.313456188025	77.5827013158152	50.1638554216867
46	-883.398	826.154	118.534	14.328	0	-907.820	811.622	83.775	15.648	24	44.8976746502534	27.3507843005884	65.7083333333333
47	-605.710	817.281	187.710	15.005	0	-458.311	761.232	151.841	14.091	118	186.227591835904	35.564479297127	47.7542372881356
48	-578.956	834.926	212.131	15.762	0	-371.869	997.410	46.988	10.865	111	310.738292255718	146.135914087632	48.397279806954
49	-456.310	669.106	228.914	16.094	0	-357.969	631.058	99.025	14.630	77	172.986662587033	69.7510499741916	38.6664025356577
50	-403.138	575.309	208.375	12.291	0	-290.429	544.144	115.236	14.643	63	149.497321805442	32.1281538875235	25.031746031746
51	-859.215	1310.424	191.954	16.294	0	-871.189	1265.301	145.063	14.913	33	66.1681772909002	32.6361505599664	75.7272727272727
52	-469.778	773.166	233.655	13.840	0	-420.449	819.539	140.490	14.502	96	194.954456563578	57.4595220047363	62.3973128598848
53	-973.114	1116.690	367.811	17.453	0	-1021.001	1184.993	359.808	14.165	55	88.9020605666707	136.014505239437	60.2137404580153
54	-1037.976	789.024	288.767	16.389	0	-1164.803	698.017	328.542	14.208	118	167.607818218602	126.39265498997	59.2689714644089
55	-1103.766	750.348	334.673	17.316	0	-1153.215	724.084	308.345	16.244	53	69.0740443147785	180.187907375577	40.1599323037868
56	-817.144	942.325	210.837	17.678	0	-932.263	894.616	99.854	14.470	92	170.557126693668	43.7128653474786	89.2173913043478
57	-813.255	1001.729	241.270	17.288	0	-814.805	911.838	193.471	17.678	117	138.960558353801	53.8945577005179	75.2830188679245
58	-845.567	1169.440	1077.215	14.561	0	-866.317	1249.257	1122.085	11.376	26	93.8862763613512	216.733437612839	66.3647058823529
59	-750.498	1012.051	241.454	16.554	0	-802.244	989.935	239.025	17.678	41	56.326423754753	35.6618253735783	84.609756097561
60	-717.860	1418.509	1122.185	15.004	0	-851.433	1419.460	1130.500	11.875	33	133.83493548024	60.0647750326952	25.9090909090909
61	-584.059	1337.293	1039.240	16.658	0	-600.411	1392.699	1103.805	10.688	20	86.6363201261459	71.5028023424117	38.6
62	-311.646	940.531	309.481	12.888	0	-290.874	939.056	293.205	12.666	28	36.6024180621991	21.2640229923398	15.2857142857143
63	-589.827	1559.182	1086.985	14.462	0	-602.015	1622.311	1063.010	12.949	37	100.017939365896	54.123492760309	41.3513513513514
64	-795.612	1108.701	1057.055	12.297	0	-854.920	1138.146	1065.755	13.411	29	66.7842562959265	45.3434225362476	79.7931034482759
65	-549.605	1408.787	1066.755	11.854	0	-580.611	1496.836	1099.405	12.587	84	119.924157341213	79.1316743784909	58.4256329113924
66	-316.285	1371.412	841.010	13.868	0	-373.826	1392.606	932.020	15.344	26	127.325125957134	69.9324470354257	35.9615384615385
67	-579.053	993.548	920.710	16.426	0	-575.537	1032.596	938.005	16.994	20	67.280017560937	50.7785128084298	68.2
68	-483.393	930.502	890.245	16.628	0	-502.134	990.905	918.670	14.968	48	89.5114409112042	48.8630377998683	45.5
69	-737.451	1288.544	1118.490	11.955	0	-827.971	1323.193	1125.575	11.934	23	101.453025632556	59.7305834348334	37.7391304347826
70	-847.579	1052.716	991.400	15.918	0	-863.979	1059.430	950.665	17.530	96	71.7976978461008	39.709382469304	89.2291666666667
71	-660.069	1181.250	1049.660	16.083	0	-752.699	1249.305	1141.445	13.242	46	166.596232241309	154.55121018418	72.4025157232704
72	-668.219	996.185	254.945	16.237	0	-689.543	993.591	312.627	14.219	47	77.3829204992937	128.794420095872	78.4672131147541
73	-914.944	1039.696	984.835	17.678	0	-985.510	1070.831	943.190	15.401	43	87.6541762039893	817.755719324763	69.3404825737265
74	-772.441	1180.612	1078.410	16.526	0	-843.181	1112.017	1150.515	16.584	118	124.259223705929	102.943805746671	81.740776636299
75	-776.654	969.731	275.021	17.678	0	-791.876	942.530	219.305	16.196	23	74.8148438078969	46.8293317229731	83.8260869565217
76	-651.750	813.696	1086.600	17.678	0	-625.931	858.977	1232.415	12.146	99	156.780099712942	32.3077415376106	47.969696969697
77	-913.837	938.940	1074.195	16.333	0	-913.911	963.236	1103.185	12.412	28	49.3987768067186	35.6122844876055	84.3214285714286
78	-667.299	2000.588	451.515	11.274	0	-754.486	2065.912	494.630	16.771	24	124.688807136006	119.152763126182	9.74397590361446
79	-912.440	898.586	1049.015	15.611	0	-907.179	761.601	1166.245	13.132	68	180.37583332032	70.4960261576391	74.3222222222222
80	-355.451	1546.685	855.295	14.311	0	-384.100	1642.676	915.605	13.474	23	160.441300618014	887.749607554292	30.0588235294118
81	-929.452	799.186	1094.805	15.189	0	-1089.585	787.865	1110.520	15.148	118	161.300043257899	92.1283035993751	57.8711070697886
82	-970.510	685.059	1100.920	13.154	0	-978.438	587.253	1273.565	11.287	86	198.582886586433	34.0676883556018	27.5165289256198
83	-928.430	692.803	1128.690	14.375	0	-987.142	696.688	1225.285	13.306	94	113.631804746735	24.6312711919655	44.968085106383
84	-605.888	1877.162	333.019	14.794	0	-587.747	1920.287	368.417	11.661	86	74.1625061739421	61.2655967541058	40.3076923076923
85	-973.156	832.361	1041.165	12.880	0	-1002.174	844.402	1136.975	15.724	118	112.659646200403	23.6934166307291	65.5508474576271
86	-496.520	1167.559	301.872	15.752	0	-560.861	1215.295	135.431	12.704	118	184.7189661567	69.806287505091	79.6690647482014
87	-519.461	1163.324	322.420	14.266	0	-487.399	1249.211	325.587	16.774	59	96.9578206489812	48.6257920551605	76.9830508474576
88	-708.200	1890.575	361.676	12.548	0	-712.848	1832.275	303.497	13.831	40	97.8242072750911	84.7512142618373	40.7480158730159
89	-767.131	1298.989	229.792	14.267	0	-831.454	1327.365	227.816	15.345	65	122.141293607035	66.4782630679013	85.3529411764706
90	-813.390	1095.176	289.562	17.678	0	-808.929	1084.274	288.589	16.523	38	64.4732314685715	89.1088191209944	91.5684210526316
91	-761.074	1356.938	131.610	15.272	0	-817.854	1390.726	78.959	11.123	48	84.4850587086262	28.2100934875186	43.1041666666667
92	-504.570	1228.255	335.584	15.188	0	-502.839	1306.375	231.396	13.258	118	137.566986144932	129.785936584497	77.260294673215
93	-526.439	1637.946	299.969	17.678	0	-533.876	1707.675	186.721	13.637	48	134.568441731336	59.289991956111	58.8929292929293
94	-395.747	1620.747	420.455	14.317	0	-408.100	1669.388	283.479	12.292	37	145.879978290374	56.5093158519237	40.2702702702703
95	-871.977	1186.847	224.241	15.882	0	-901.894	1196.933	143.329	14.441	98	86.8533593420542	56.8242442792179	81.1578947368421
96	-495.245	1592.355	287.873	17.678	0	-623.953	1561.263	237.928	15.058	109	232.60105866698	151.078650261864	74.5647368421053
97	-316.634	1185.693	453.955	13.696	0	-387.990	1240.562	354.556	17.678	118	161.096899669112	353.147452039057	49.3036211699164
98	-327.400	1232.591	466.855	15.407	0	-381.715	1307.715	423.770	16.488	38	125.622759948188	269.507013654849	37.3493975903614
99	-498.190	1497.331	232.291	13.252	0	-372.267	1648.713	279.141	15.212	71	202.405618382989	71.2513113302875	43.483537158984
100	-902.523	1182.472	224.787	15.784	0	-995.588	1208.972	172.391	16.106	118	138.533987631195	91.4365163936968	50.4675976633808
101	-265.755	1206.236	604.720	16.390	0	-283.869	1285.593	439.405	12.288	21	189.232261596695	100.479940887604	30.7619047619048
102	-631.743	1539.267	155.610	12.326	0	-627.010	1615.530	148.780	11.185	21	76.714375171802	56.3222999852149	26.4285714285714
103	-610.000	1485.255	199.293	17.678	0	-735.154	1578.309	282.754	17.051	105	183.351368015076	50.9133360042286	74.8604118993135
104	-731.981	876.253	156.493	15.825	0	-709.296	834.201	2.774	15.520	101	181.705321358512	73.0762663349571	42.4675636713119
105	-1192.878	697.372	783.180	13.759	0	-1248.296	696.149	742.520	14.918	55	68.7450802094231	23.4142208664287	16.3636363636364
106	-833.139	901.253	244.402	17.334	0	-898.551	821.337	211.409	11.773	22	108.415104339755	66.9824760111004	82.5909090909091
107	-757.304	831.746	137.892	17.215	0	-755.039	808.886	46.951	17.678	35	93.7975229203842	29.230346196979	64.0285714285714
108	-670.837	847.609	177.361	16.556	0	-611.551	856.229	63.779	16.019	101	133.524662733145	30.9543961237855	52.3366336633663
109	-961.946	889.911	228.358	15.829	0	-990.367	783.395	134.631	17.678	118	144.700248880228	72.0938380707923	79.8531073446328
110	-840.382	742.199	152.663	15.717	0	-882.196	674.067	-37.767	14.423	118	206.528363475819	104.133426619152	54.7700547488693
111	-777.785	818.745	183.991	17.678	0	-791.944	808.336	104.585	17.541	81	93.3517255009247	29.6363628576682	82.6296296296296
112	-780.496	670.733	114.571	13.850	0	-738.085	631.257	-33.162	17.678	118	158.688647312906	86.9127909387055	32.0849494673586
113	-714.827	654.321	107.164	14.747	0	-604.160	643.919	1.714	13.506	70	153.289468000903	35.7348506335297	21.4142857142857
114	-814.004	840.789	221.538	14.536	0	-814.210	788.184	106.160	16.134	95	187.937834338911	48.3734207427488	78.8030523255814
115	-195.599	662.605	456.815	17.215	0	-79.516	586.876	468.740	13.125	54	157.729876998621	48.2982298152969	10.6666666666667
116	-417.336	681.997	214.228	16.722	0	-175.351	625.163	173.662	17.177	115	264.772947439877	125.026505561424	49.5088028169014
117	-285.413	828.414	303.635	14.005	0	-260.592	822.002	289.323	10.714	28	40.9785653970463	27.3149984402235	18.1428571428571
118	-335.795	884.659	293.640	14.996	0	-330.852	875.269	266.470	12.043	20	41.6490168071228	21.6600929301383	22.75
119	-861.904	1111.207	1027.220	15.823	0	-999.006	1211.273	964.720	17.678	118	188.875248749009	84.8173035580928	54.2895343476256
120	-260.185	814.004	506.595	17.190	0	-200.225	803.366	547.180	13.500	27	73.1813560205056	46.5397778641767	18.2592592592593
121	-764.474	1804.725	286.219	12.230	0	-793.702	1866.087	300.745	11.792	28	82.6244642584748	241.699975596794	24.6164383561644
122	-813.933	1098.614	1079.575	14.733	0	-856.731	1102.703	1116.060	12.895	28	56.3874449678294	27.3888260005786	80.4285714285714
123	-828.875	997.470	955.650	17.248	0	-833.224	1045.233	951.380	15.832	54	84.6036015013545	37.3105919177762	100.240740740741
124	-606.743	1704.675	227.640	13.009	0	-620.803	1719.375	224.841	14.005	46	77.0635525913515	80.7955058531089	46.0234070221066
125	-476.394	1826.612	383.130	14.188	0	-503.572	1910.538	342.597	12.940	34	106.07663875708	51.8305494003052	23.6764705882353
126	-362.038	1592.364	384.464	12.119	0	-300.165	1671.925	397.678	13.914	58	130.422932929757	81.8123706251257	19.6666666666667
127	-962.497	954.536	976.280	16.084	0	-1012.755	976.741	966.870	12.808	23	55.7447458420971	37.2768508140229	60.7826086956522
128	-520.736	1021.558	948.700	14.470	0	-557.609	1023.641	1030.170	16.951	33	95.6097981642048	53.7429844962756	74.7272727272727
129	-355.660	1457.523	454.370	14.278	0	-400.161	1594.564	322.396	13.574	41	210.488342665336	67.4676934306228	49.8780487804878
130	-529.695	1477.010	244.930	17.316	0	-623.863	1517.065	174.793	12.556	32	124.061331679134	47.9679943782003	53.53125
131	-257.226	763.058	505.985	13.562	0	-112.591	791.094	502.195	15.339	74	207.496155265586	62.8606558257194	14.1081081081081
132	-617.650	820.739	1096.535	16.486	0	-554.105	783.156	1256.075	17.678	118	184.022743056395	126.068406186972	51.7670365421484
133	-557.844	1135.651	1019.940	14.374	0	-578.243	1119.273	1057.530	16.547	25	58.566017971175	35.1475277719308	77.72
134	-503.754	960.653	932.115	16.049	0	-508.932	933.903	967.685	16.383	52	66.1283488452569	36.748327145235	63.9807692307692
135	-923.128	884.081	1089.820	17.678	0	-1045.591	892.332	1187.395	15.643	118	223.920338888633	96.3014900654622	66.2028264852133
136	-607.851	973.368	962.050	15.412	0	-662.679	984.132	1017.195	16.008	73	96.747136340049	41.1203104679347	78.986301369863
137	-647.039	1093.336	1012.945	15.477	0	-624.651	1108.290	1023.850	17.678	67	60.3698177900181	59.400171973461	107.40081799591
138	-608.031	914.808	1022.390	17.639	0	-605.389	873.361	1129.830	11.709	55	115.187619009163	35.787809509377	72.6
139	-431.074	658.816	1040.710	11.090	0	-360.029	695.145	1041.785	16.068	28	79.8019040562316	50.870221491025	9.82142857142857
