Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
0	58.649	728.347	-893.095	17.677	0	-113.263	749.534	-980.260	15.765	118	205.500784003371	37.9504472432394	38.9576271186441
1	542.784	968.763	-1043.220	14.667	0	594.770	971.865	-1114.524	12.164	102	88.2973783076257	23.3285586571102	91.4411764705882
2	491.534	1175.555	-1075.351	15.586	0	559.895	1192.770	-1182.865	14.423	118	128.850639226198	114.46389270487	115.697478991597
3	604.351	876.324	-1040.124	15.094	0	658.328	859.592	-1085.660	17.678	118	73.4691198667848	44.6021073014384	47.6072370900867
4	205.874	1082.000	-1084.247	15.569	0	105.457	1091.389	-1192.560	15.362	94	147.9980850518	39.5609868489402	81.4042553191489
5	248.461	1070.245	-1078.853	16.321	0	233.494	1014.880	-1246.136	15.964	118	180.667671670944	96.4385548881886	107.843799472296
6	289.934	1206.491	-1106.662	16.804	0	332.352	1191.920	-1138.133	13.602	90	101.210792996597	56.7251105029887	114.734836702955
7	569.221	983.369	-567.750	14.645	0	672.550	879.196	-564.195	14.276	118	148.143251874664	109.343457418145	92.2035797834721
8	516.721	775.581	-1105.646	17.459	0	584.310	692.003	-1184.299	15.070	118	184.087272045082	58.5772112544617	26.8975409836066
9	647.223	723.499	-1012.267	14.134	0	697.556	682.039	-1059.901	14.131	118	82.4014765947795	1349.09864621912	27.6594991834513
10	84.692	1114.990	-1104.202	13.290	0	20.702	1132.506	-1104.475	11.819	23	66.3445919800552	51.7400495103236	17.7826086956522
11	43.910	611.121	-531.305	13.704	0	-39.327	573.884	-553.525	12.946	35	93.8547853761331	67.790615917292	11.5
12	576.725	960.289	-591.600	15.627	0	609.388	977.616	-508.550	16.066	118	94.0278905059557	49.1826175350711	94.241875
13	433.196	1079.116	-552.055	16.553	0	393.285	1079.523	-594.240	15.149	29	61.0066489081314	38.8095116651714	101.758620689655
14	137.379	1240.188	-1029.437	16.137	0	51.109	1315.295	-1117.972	13.798	112	178.083081369343	83.211393068553	95.422748191979
15	456.156	1148.966	-531.545	16.003	0	489.884	1088.590	-486.470	12.423	68	91.1359592861126	26.143546137016	96.25
16	428.217	1025.239	-528.415	16.368	0	434.566	978.896	-425.770	15.987	118	117.143119068087	63.4010391575611	99.948051948052
17	532.018	695.330	-1103.034	13.964	0	562.341	666.350	-1131.778	14.881	28	50.8482277468939	25.3788240134021	16.8214285714286
18	404.010	1094.676	-565.105	16.218	0	295.076	1123.826	-448.915	16.076	118	162.633387685309	46.607238840914	128.82722513089
19	343.428	930.349	-616.645	15.149	0	333.143	902.934	-638.130	14.682	23	40.1605272126749	32.9347118481618	48.1739130434783
20	180.605	904.821	-589.370	17.207	0	31.255	809.594	-492.415	11.597	72	201.925422010207	31.8678379030515	75.9027777777778
21	640.501	991.717	-960.763	14.786	0	677.442	996.249	-911.975	17.482	32	61.3632255426652	24.7085731910963	68.96875
