Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
49	712.730	1054.706	42.108	18.090	0	850.651	880.937	75.654	16.257	118	233.898729088039	94.5818448208813	45.3016415868673
50	736.438	1356.616	164.784	15.399	0	669.955	1334.004	168.474	13.414	24	77.5509047078112	60.9243188537692	4.375
51	840.244	1108.488	-613.772	19.743	0	1009.689	1182.360	-524.040	18.439	118	229.071309565384	154.6247528175	23.8782713085234
52	856.083	1042.847	-577.995	17.267	0	989.896	871.322	-551.393	11.542	35	219.16754093159	56.9779038897907	15.1714285714286
53	574.355	1085.787	31.530	13.861	0	757.838	911.262	130.524	18.365	88	279.837706067285	86.2482541863288	51.9140546006067
54	578.447	1193.659	-681.173	19.520	0	853.183	1217.222	-757.189	19.004	118	322.873549794653	305.032005928891	52.6747367858479
55	577.004	1346.885	93.456	16.565	0	735.929	1268.598	141.798	14.967	24	183.638119566717	78.507065166497	11.9166666666667
56	763.666	967.578	-44.004	16.904	0	826.271	879.995	-85.656	15.303	25	115.434210778261	47.582336772968	18.04
57	540.359	1278.533	74.664	19.532	0	638.512	1210.125	72.570	14.020	30	119.658057434508	59.0877576838364	19.3
58	568.010	954.399	-665.511	19.249	0	508.650	911.355	-838.209	18.787	118	250.132353377167	70.4350753521968	58.2851330203443
59	587.565	975.034	-672.884	14.909	0	519.070	955.809	-756.257	21.213	69	209.202297093029	132.802432547631	56.6362413097107
60	669.543	1056.708	-621.091	21.103	0	861.716	1092.228	-676.365	19.889	118	237.153694076226	85.8943717836334	47.3589433131536
61	535.123	1048.084	-622.102	15.485	0	630.944	1001.498	-628.861	20.606	27	126.257711324893	67.6542830018318	45.4074074074074
62	780.817	946.375	-648.728	18.471	0	800.535	884.025	-800.926	18.147	118	169.509803804972	90.9961521141591	38.9791288566243
63	423.152	1420.758	12.000	14.264	0	799.572	1307.419	170.802	13.515	54	423.976202781477	121.272064433292	14.7037037037037
64	454.559	1377.690	45.840	18.095	0	824.651	1331.447	128.370	18.055	58	385.296662191616	90.439390742166	13.5178571428571
65	729.896	991.569	-4.290	18.779	0	696.986	875.255	108.924	21.213	118	207.20128956645	45.6190966762341	53.1615008156607
66	640.692	1009.836	-23.802	16.093	0	672.443	891.080	59.646	18.286	34	148.575510233012	60.5761200915652	38.3529411764706
67	505.988	1159.710	-7.248	15.897	0	760.955	949.992	67.290	21.213	118	355.731436121409	107.621641593153	44.3226170332769
68	570.286	971.642	-19.500	20.975	0	544.243	901.532	84.420	19.259	46	128.035215269081	36.3566173138597	51.6086956521739
69	527.297	975.885	-43.902	18.628	0	479.934	1027.206	108.858	21.213	118	187.77525625332	72.7417426094704	58.3001277139208
70	454.154	1075.963	-100.800	17.638	0	399.878	979.035	79.242	19.508	118	222.788555776548	93.9048165991467	51.7743009320905
71	761.546	1027.734	-25.296	19.952	0	895.670	825.753	-10.404	15.847	78	290.468331356449	69.2943939284895	28.3724023275145
72	572.313	900.073	6.432	19.518	0	520.480	773.286	175.854	12.790	76	217.865594672495	89.1592681587416	42.6528925619835
73	553.211	903.888	-69.366	19.884	0	536.210	853.477	21.192	18.240	39	105.028825976491	43.1631923947252	43.8205128205128
74	612.379	1088.922	-652.028	19.481	0	785.128	1055.238	-754.880	18.746	63	203.851325139181	60.0032298514425	53.9437609841828
75	765.591	1053.236	-640.367	21.213	0	712.111	1007.718	-771.110	16.726	59	159.280634617018	47.2837582126046	42.0677966101695
76	768.881	1153.458	-671.683	19.423	0	977.615	1195.221	-589.147	20.942	118	242.566700577388	124.939819561477	27.7359125315391
77	425.909	914.133	-134.052	20.598	0	406.344	837.465	-94.536	14.095	26	115.657599905929	213.044179003345	28.9305555555556
78	484.808	803.034	-602.644	18.592	0	387.721	871.053	-799.524	20.141	118	269.527583577266	50.2680390924666	63.7993730407524
79	425.949	711.718	-434.694	19.013	0	96.106	592.446	-577.157	14.542	81	389.151602264465	86.8641823652699	16.6171428571429
80	425.949	711.718	-434.694	19.013	0	96.106	592.446	-577.157	14.542	81	389.151602264465	67.9779026615644	16.8208092485549
81	507.266	781.697	-379.962	20.366	0	142.327	775.651	-395.580	21.213	118	372.868994351904	180.405088699717	40.4912478825522
82	507.266	781.697	-379.962	20.366	0	142.327	775.651	-395.580	21.213	118	372.868994351904	183.516147788633	40.4912478825522
83	734.270	1211.856	-707.495	19.342	0	969.221	1097.367	-561.789	18.549	118	301.096841277022	213.734174008444	40.6341932662877
84	575.262	1112.408	43.506	19.178	0	821.277	1093.244	59.682	19.740	118	262.754784239983	66.5823081908329	46.5079365079365
85	669.956	976.074	-656.814	19.991	0	652.136	899.997	-715.595	17.675	24	103.886123967544	62.2700106482308	34.9583333333333
86	462.164	881.552	-589.012	19.372	0	360.491	835.567	-823.310	21.065	118	259.514107435415	44.7374792288339	68.2881355932203
87	462.164	881.552	-589.012	19.372	0	360.491	835.567	-823.310	21.065	118	259.514107435415	44.7374792288339	68.2881355932203
88	468.137	929.833	-611.075	19.419	0	364.042	922.795	-797.983	16.695	118	214.928308021535	41.5324608983676	82.4573170731707
89	562.081	1073.678	-616.768	17.511	0	483.460	1069.758	-781.633	21.134	118	207.165379158777	181.790786762146	58.723411154345
90	626.555	1361.391	-734.671	13.491	0	625.510	1357.093	-818.890	15.601	32	185.720083938168	143.565963407834	6.38436482084691
91	644.368	1300.932	110.556	17.404	0	854.393	1128.255	83.994	16.784	80	301.00041841333	159.2332613056	34.4621387283237
92	438.870	1304.802	-727.285	16.742	0	731.111	1255.323	-796.444	18.841	118	309.555265619889	1109.01245480172	56.0311074243053
93	553.238	788.352	48.660	20.639	0	404.153	707.866	158.670	21.213	118	225.587084967203	140.474553276931	29.2126517932787
94	550.313	834.513	-447.210	18.099	0	291.914	882.192	-576.206	18.703	64	292.71709594419	63.3289439691018	47.3125
95	550.313	834.513	-447.210	18.099	0	291.914	882.192	-576.206	18.703	64	292.71709594419	63.3289439691018	47.3125
96	659.246	959.328	5.904	19.665	0	742.594	863.399	136.308	15.627	118	250.054531438644	197.639873955216	62.269096318334
97	605.666	1032.718	-665.041	16.001	0	550.726	917.910	-700.676	18.631	24	140.298244368916	71.3941951558785	39.375
98	547.966	1012.260	-17.316	18.397	0	510.930	934.529	109.020	14.649	73	152.887404821326	56.1041671428195	53.8493150684931
99	768.285	921.141	-677.761	18.346	0	763.922	786.917	-858.404	18.031	118	249.354632545698	55.7726242002186	19.166875
100	423.305	702.581	-299.472	19.428	0	108.899	585.478	-174.072	18.601	118	404.069218635867	53.8010671363201	19.3474576271186
101	423.305	702.581	-299.472	19.428	0	108.899	585.478	-174.072	18.601	118	404.069218635867	53.8010671363201	19.3474576271186
102	662.524	1008.217	-628.525	18.595	0	698.033	948.409	-748.615	15.737	64	141.345592750535	40.030534919354	45.890625
103	633.765	1002.112	-623.036	15.511	0	730.401	996.444	-786.088	16.828	118	205.540233263466	193.935407803516	58.34832
104	557.249	1491.569	-746.282	15.848	0	897.980	1328.703	-738.135	15.745	100	391.582713785989	102.895759033296	9.09553571428571
105	727.208	884.163	-706.654	19.935	1	705.654	824.457	-866.206	17.182	118	173.047938938896	95.6237657507713	39.2060301507538
106	577.029	1108.024	-623.326	18.048	2	440.483	1134.924	-697.859	16.555	44	157.872062775527	91.32763635414	25.6428571428571
107	437.075	1303.383	-725.033	16.457	3	384.107	1300.976	-735.662	14.979	26	75.2352537445046	62.1413257066131	5.26086956521739
108	473.654	858.917	-109.362	20.685	3	333.077	773.853	108.180	17.967	81	294.495136778182	54.2656591325799	42.2564102564103
109	647.390	999.228	-26.532	20.329	6	809.897	941.463	55.644	19.916	118	191.045060784099	35.8006961529223	52.1534090909091
110	227.429	1136.964	-473.076	15.777	6	572.034	1318.151	-835.759	19.314	118	560.602283150898	338.898819068706	34.2700743157513
111	459.134	1302.324	16.434	17.472	7	467.189	1351.189	56.358	15.436	30	63.6128683994049	55.713135811774	11.9130434782609
112	358.062	1033.742	-593.972	16.254	7	368.917	1051.899	-745.728	20.477	118	179.424949474704	145.725779649918	60.1320041972718
113	373.536	745.537	-243.462	15.011	7	128.544	734.344	-107.280	19.488	84	302.740765324064	56.8773018270312	31.0909090909091
114	373.536	745.537	-243.462	15.011	7	128.544	734.344	-107.280	19.488	84	302.740765324064	56.8773018270312	31.0909090909091
115	441.477	1003.982	-611.310	14.144	8	530.082	1016.863	-804.693	20.033	118	217.98368614417	76.714653472478	69.0898710086699
116	487.424	903.183	-573.673	19.224	9	292.724	995.036	-699.952	19.306	118	277.699259674923	165.337732645109	67.1087662337662
117	588.175	1003.071	-18.246	15.563	9	510.154	885.222	98.550	21.213	118	191.650858899719	77.1281243139493	63.9936421435059
118	524.062	1049.520	-629.153	10.550	9	606.382	1005.649	-805.664	19.370	91	220.41659458852	44.2583950316174	58.4878048780488
119	508.649	1187.778	-637.214	10.565	9	563.681	1196.696	-691.979	18.044	30	78.1489409589151	76.49614968625	12.9047619047619
120	903.372	1093.082	-550.679	17.072	9	979.447	1070.029	-484.320	14.383	44	126.059535946314	58.0410619434871	7.8
121	693.941	1162.630	-637.540	14.564	9	828.515	1187.133	-757.962	18.077	118	182.241643344764	87.8516449840944	58.7435064935065
122	645.050	1161.189	-618.277	14.870	9	757.847	1054.704	-680.644	15.496	52	167.188101020976	111.175387236939	47.5430327868852
123	318.656	1517.282	-646.199	15.182	10	303.428	1542.417	-604.200	16.371	30	62.2972310861406	240.803271993569	2.90769230769231
124	416.206	698.357	-587.392	17.891	10	163.032	647.635	-710.768	17.584	118	296.282886856464	102.020094369834	42.7525414287704
125	416.206	698.357	-587.392	17.891	10	163.032	647.635	-710.768	17.584	118	296.282886856464	101.065873553508	42.7525414287704
126	525.915	1449.333	-760.114	14.879	10	504.698	1498.929	-831.136	12.751	37	91.2947559830245	46.6286151162238	6.14814814814815
127	347.741	1444.104	-688.379	14.887	10	328.817	1544.980	-715.992	15.060	32	106.285290238113	51.8121915388097	3.86363636363636
128	349.458	698.986	-276.636	17.202	11	102.135	647.801	-238.014	19.472	118	284.266586627764	45.8187802590292	36.3551401869159
129	349.458	698.986	-276.636	17.202	11	102.135	647.801	-238.014	19.472	118	284.266586627764	45.8187802590292	36.3551401869159
130	340.595	1054.197	-103.788	15.105	11	296.005	1032.679	16.422	18.002	112	168.840977555805	51.3880700974204	39.3069306930693
131	564.830	1177.068	36.618	16.970	11	509.875	1188.302	93.540	16.917	43	79.9147599946343	39.9118994708651	24.96875
132	340.452	731.751	-337.650	18.281	11	178.305	719.707	-285.078	13.391	42	170.881604419551	76.7808068847907	23.3225806451613
133	340.452	731.751	-337.650	18.281	11	178.305	719.707	-285.078	13.391	42	170.881604419551	76.7808068847907	23.3225806451613
134	922.986	1307.145	77.454	18.474	11	881.947	1348.390	107.766	13.312	35	72.0458205172236	45.792016786479	2.625
135	338.446	1231.596	-47.070	14.777	11	402.189	1264.694	62.742	15.626	43	131.214797172423	73.9113266166249	14.46875
136	481.183	847.368	84.786	18.018	11	470.716	838.122	120.504	19.865	32	47.7658696979339	31.9942996734437	20.6190476190476
137	756.289	919.102	20.280	18.933	11	773.346	898.876	5.844	17.505	48	60.4266359149672	41.6855357409129	34.3783783783784
138	415.712	830.781	-549.655	14.895	11	304.303	825.050	-672.844	18.843	49	166.19368027395	57.885164871359	51.5789473684211
139	448.722	861.978	-614.703	20.421	11	421.384	891.880	-763.130	17.346	61	175.805808828946	78.0796840339109	52.3950617283951
140	490.775	908.300	-644.864	20.289	11	375.389	886.763	-844.783	14.114	118	231.830493951939	134.369457002626	66.8940766550523
141	812.807	977.742	-76.950	17.675	12	888.233	1029.366	-17.100	14.559	118	109.71700592889	87.8016381489427	19.3479532163743
142	385.766	1148.862	-56.784	15.271	12	302.963	999.624	42.888	21.213	118	225.28615515384	111.309854697363	64.9479791142912
143	270.535	1101.759	-97.884	16.201	12	356.086	1206.060	83.088	19.743	61	257.733936626514	114.397621610212	20.2340425531915
144	542.354	895.933	-652.772	19.421	12	460.661	856.977	-834.081	17.097	56	202.643207796363	54.5820201902036	53.2954545454545
145	436.223	866.514	77.718	15.822	12	395.751	850.915	56.994	17.062	33	84.3771479785848	62.1502932117591	22.8095238095238
146	826.033	1083.747	-602.475	14.751	12	871.985	1091.514	-626.743	19.330	47	52.5437761966153	56.3552819623475	27.4857142857143
147	647.585	1057.249	-647.627	16.629	13	681.130	1053.950	-662.981	19.816	35	37.0391109774519	44.3396980422225	49.9545454545455
148	441.745	1249.278	-622.855	15.112	14	558.972	1243.484	-829.819	21.087	118	266.638144107328	92.224032711308	44.6993670886076
149	470.398	875.100	-31.440	19.414	14	423.641	834.415	23.256	15.672	40	82.6628011260204	36.9845840081794	35.2692307692308
