Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
47	565.833	647.953	97.614	10.000	39	555.149	643.315	116.524	10.000	120	31.7857392709372	6.89689714036935	86.1481481481482	aFHF
48	202.547	294.703	386.651	10.000	0	235.802	336.949	336.824	10.000	120	73.3031341076219	9.64182742898293	54.8	aFHF
49	578.124	605.899	99.352	10.000	39	573.769	597.849	151.894	10.000	120	53.3332006258766	8.81887729901855	110.049382716049	aFHF
50	640.953	560.947	143.206	10.000	39	648.899	524.562	189.334	10.000	120	59.2857447030903	10.1928094229244	121.481481481481	aFHF
51	635.274	563.338	130.071	10.000	39	625.752	565.147	178.556	10.000	120	49.4442735814776	9.02861211487978	131.654320987654	aFHF
52	173.862	587.187	131.649	10.000	96	148.042	597.321	143.883	10.000	120	30.3156908547373	13.6794216022926	67	aFHF
53	159.664	584.275	137.990	10.000	98	151.655	590.395	132.673	10.000	120	11.3960067567547	6.8378735391298	63.9090909090909	aFHF
54	181.430	613.941	153.421	10.000	41	150.251	605.509	205.782	10.000	120	61.521565210908	10.8292560662616	88.5063291139241	aFHF
55	608.531	560.278	163.701	10.000	17	589.028	550.997	244.141	10.000	120	83.2892404215574	12.1111825776523	121.825242718447	aFHF
56	607.443	565.601	160.030	10.000	17	583.053	541.758	231.914	10.000	120	80.3013124301216	12.2693345690441	125.388349514563	aFHF
57	616.410	576.584	169.929	10.000	17	586.250	567.305	232.332	10.000	120	69.9275328465119	10.1724179142081	125.844660194175	aFHF
58	636.751	543.680	176.954	10.000	17	608.487	511.221	228.930	10.000	120	67.4829234177062	8.92025693529261	114.300970873786	aFHF
59	129.244	485.437	231.239	10.000	7	165.673	477.080	300.467	10.000	120	78.6729144877702	10.7832067689827	93.7256637168142	aFHF
60	127.456	482.465	232.175	10.000	7	159.622	489.857	295.720	10.000	120	71.6048898120792	9.93068990216723	94.2920353982301	aFHF
61	526.141	643.330	114.562	10.000	17	546.506	628.370	180.753	10.000	120	70.8504291165551	9.62787626001891	83.4368932038835	aFHF
62	554.431	618.514	145.257	10.000	17	556.781	601.654	175.854	10.000	120	35.0136903082209	9.39900674829561	100.844660194175	aFHF
63	573.798	618.276	117.167	10.000	25	559.915	603.367	139.968	10.000	120	31.4661216866648	7.63099792461405	98.3368421052632	aFHF
64	126.609	526.884	207.201	10.000	27	167.052	535.075	282.225	10.000	120	85.6231820595334	11.0291619420369	117.537634408602	aFHF
65	128.165	521.739	210.831	10.000	27	177.887	508.372	252.394	10.000	120	66.1697585155031	9.8294308889036	120.451612903226	aFHF
66	128.740	520.000	209.375	10.000	27	181.863	515.482	272.688	10.000	120	82.7707763766898	10.7935930136494	118.774193548387	aFHF
67	128.400	519.878	208.393	10.000	27	162.419	513.040	252.637	10.000	120	56.2279480418768	8.48701736383305	119.086021505376	aFHF
68	163.574	319.910	312.500	10.000	0	191.927	348.417	320.158	10.000	120	40.9379795422295	6.33425192986088	55.475	aFHF
69	103.892	492.982	265.798	10.000	12	171.359	488.405	317.559	10.000	120	85.1583591845217	10.1755010645063	88.25	aFHF
70	106.790	485.633	252.944	10.000	12	172.020	481.781	305.077	10.000	120	83.5921078391974	9.92399744141047	92.4814814814815	aFHF
71	636.823	523.769	223.105	10.000	0	585.794	499.618	291.896	10.000	120	88.9911867715	10.3339297044902	98.7333333333333	aFHF
72	652.900	516.402	222.894	10.000	0	597.168	479.457	284.064	10.000	120	90.6242668880692	10.8687452929021	98.9666666666667	aFHF
73	181.664	619.761	157.892	10.000	37	179.032	617.475	206.786	10.000	120	49.0181237503028	7.14622005341744	82.0120481927711	aFHF
74	607.853	608.035	156.287	10.000	22	590.186	611.835	220.876	10.000	120	67.0693805696757	8.54662959216155	120.081632653061	aFHF
75	619.847	541.832	198.645	10.000	0	586.130	523.507	247.744	10.000	120	62.8358914713558	9.08126760496405	107.6	aFHF
76	643.767	467.089	296.145	10.000	0	571.943	446.503	306.046	10.000	120	75.3690929559326	9.48228511476889	80.1583333333333	aFHF
77	580.248	610.901	132.028	10.000	22	600.764	591.201	194.512	10.000	120	68.6530881461278	9.92138360193214	123.091836734694	aFHF
78	583.078	609.610	119.418	10.000	28	588.559	598.019	179.389	10.000	120	61.3262870472361	9.22354129737936	121.739130434783	aFHF
79	617.861	556.482	153.831	10.000	22	650.765	520.032	218.589	10.000	120	81.2703776292445	12.2106103191291	116.091836734694	aFHF
80	611.902	551.625	150.439	10.000	22	657.295	523.686	212.268	10.000	120	81.6329431724717	10.9853155157536	110.224489795918	aFHF
81	615.543	552.428	148.237	10.000	22	635.066	511.593	211.436	10.000	120	77.7488410395936	11.1738844469617	116.112244897959	aFHF
82	631.024	553.064	152.258	10.000	22	636.287	514.842	211.954	10.000	120	71.1081725612464	10.3750351560979	115.969387755102	aFHF
83	651.258	461.914	238.926	10.000	0	604.265	428.056	279.178	10.000	120	70.5331816735925	9.17750090913669	84.4	aFHF
84	597.304	567.112	126.343	10.000	34	611.579	565.324	174.303	10.000	120	50.2380846470086	8.93593114383221	138.06976744186	aFHF
85	617.947	585.462	174.214	10.000	9	604.032	549.306	259.961	10.000	120	94.0926754322567	10.5977023239161	106.954954954955	aFHF
86	564.193	631.915	61.318	10.000	59	557.315	637.989	72.905	10.000	120	23.2268349113692	9.39678446978427	67.7377049180328	aFHF
