Images,Stage,Region,Rtotal,m,b,Ch1 thresh,Ch2 thresh,Rcoloc,R<threshold,M1,M2,tM1,tM2,Ncoloc,%Volume,%Ch1 Vol,%Ch2 Vol,%Ch1 Int,%Ch2 Int,%Ch1 Int > thresh,%Ch2 Int >thresh
C2-Image948237 & C4-Image948237,Som,mes1,0.076,0.044,203.4,589,229,-0.0724,-0.009,1,1,0.3896,0.16,17301,0.34%,37.27%,16.08%,13.27%,8.79%,35.68%,15.22%
C3-Image948237 & C4-Image948237,Som,mes1,0.186,7.241,-692.3,118,162,-0.0542,-0.045,1,1,0.6851,0.5203,100093,1.98%,73.56%,54.59%,49.11%,44.94%,73.88%,55.97%
C1-Image948237 & C3-Image948237,Som,mes2,0.106,53.392,-1167.4,8,-740,0.1007,0.047,1,1,1,0.9983,336847,6.65%,99.54%,99.25%,99.77%,99.51%,99.85%,99.51%
C2-Image948237 & C3-Image948237,Som,mes2,0.578,0.148,60,186,87,0.4593,0.051,1,1,0.7377,0.846,174678,3.45%,68.49%,87.75%,70.38%,70.77%,77.25%,90.20%
C2-Image948237 & C4-Image948237,Som,mes2,0.09,0.055,209.8,589,242,-0.0716,-0.005,1,1,0.3914,0.1551,19761,0.39%,38.96%,16.07%,13.60%,8.86%,37.47%,15.46%
C3-Image948237 & C4-Image948237,Som,mes2,0.156,9.226,-821.7,118,267,-0.0728,-0.015,1,1,0.3279,0.4163,45838,0.90%,36.05%,45.61%,21.05%,23.01%,35.31%,45.98%
C1-Image948237 & C3-Image948237,Som,mes3,0.002,2920.178,-75792.6,255,668853,NaN,0.002,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C1-Image948237 & C4-Image948237,Som,mes3,0.017,680.504,-17474.1,255,156054,NaN,0.017,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C2-Image948237 & C3-Image948237,Som,mes3,0.574,0.143,77.8,246,113,0.4581,0.091,1,1,0.7085,0.7117,105022,2.07%,71.20%,78.34%,65.02%,59.35%,77.96%,80.88%
C2-Image948237 & C4-Image948237,Som,mes3,0.065,0.037,205.1,656,229,-0.1093,0.001,1,1,0.3836,0.1291,11038,0.22%,34.22%,12.46%,11.26%,6.60%,33.23%,11.36%
C3-Image948237 & C4-Image948237,Som,mes3,0.204,6.791,-677.4,13,-589,0.204,0.038,1,1,1,1,244168,4.82%,99.99%,99.98%,100.00%,100.00%,100.00%,100.00%
C1-Image867986 & C2-Image867986,Som,ect1,0.187,243.551,-3796.4,6,-2335,0.1853,0.032,1,1,1,0.9999,289230,5.71%,99.92%,99.87%,99.96%,99.94%,99.97%,99.94%
C1-Image867986 & C3-Image867986,Som,ect1,0.284,45.587,-650,18,171,0.0389,0.065,1,1,0.25,0.4921,33075,0.65%,26.21%,50.61%,15.21%,20.04%,27.79%,51.51%
C1-Image867986 & C4-Image867986,Som,ect1,0.329,135.832,-1891.2,15,146,0.21,0.042,1,1,0.9605,0.7449,174312,3.44%,87.95%,63.61%,70.45%,67.53%,90.49%,68.35%
C2-Image867986 & C3-Image867986,Som,ect1,0.57,0.171,66.2,199,100,0.3134,0.224,1,1,0.7591,0.8545,160511,3.17%,74.32%,90.91%,73.00%,73.70%,81.14%,92.85%
C2-Image867986 & C4-Image867986,Som,ect1,0.35,0.942,93.9,177,261,0.103,0.011,1,1,0.8374,0.8826,191716,3.78%,82.68%,89.79%,80.58%,81.25%,86.68%,92.07%
C3-Image867986 & C4-Image867986,Som,ect1,0.634,5.172,-228.6,18,-135,0.632,0.053,1,1,1,0.9998,289038,5.71%,99.94%,99.81%,99.98%,99.97%,99.99%,99.97%
C1-Image867986 & C2-Image867986,Som,ect2,0.147,389.533,-6189.1,7,-3462,0.1393,0.023,1,1,1,0.9995,235680,4.65%,99.55%,99.43%,99.78%,99.72%,99.82%,99.72%
C1-Image867986 & C3-Image867986,Som,ect2,0.201,66.117,-992,6,-595,0.1979,0.037,1,1,1,0.9998,236736,4.67%,99.93%,99.88%,99.96%,99.95%,99.98%,99.95%
C1-Image867986 & C4-Image867986,Som,ect2,0.274,148.79,-2120.4,18,558,0.0814,0.056,1,1,0.226,0.5054,25424,0.50%,23.56%,52.40%,14.10%,18.93%,25.06%,53.36%
C2-Image867986 & C3-Image867986,Som,ect2,0.661,0.159,63.1,252,103,0.5228,0.182,1,1,0.7849,0.8442,136411,2.69%,77.11%,89.57%,75.09%,73.75%,83.28%,91.45%
C2-Image867986 & C4-Image867986,Som,ect2,0.257,0.33,266,425,406,0.0441,0.002,1,1,0.5033,0.4612,52459,1.04%,53.23%,50.94%,35.54%,31.59%,55.02%,50.84%
C3-Image867986 & C4-Image867986,Som,ect2,0.468,5.991,-381.8,14,-298,0.465,0.059,1,1,1,0.9999,236713,4.67%,99.96%,99.87%,99.99%,99.98%,100.00%,99.98%
C1-Image867986 & C2-Image867986,Som,ect3,0.129,365.739,-5846.6,8,-2921,0.1202,0.041,1,1,1,0.9974,344303,6.80%,99.42%,99.00%,99.58%,99.34%,99.74%,99.34%
C1-Image867986 & C3-Image867986,Som,ect3,0.217,58.934,-874.9,18,186,0.0255,0.046,1,1,0.1798,0.5068,29040,0.57%,17.91%,50.48%,10.89%,15.31%,18.99%,51.03%
C1-Image867986 & C4-Image867986,Som,ect3,0.274,156.517,-2245.8,18,572,0.0776,0.037,1,1,0.2263,0.5191,39050,0.77%,24.09%,55.24%,14.74%,20.30%,25.71%,56.33%
C2-Image867986 & C3-Image867986,Som,ect3,0.571,0.164,66.3,265,110,0.2958,0.177,1,1,0.6973,0.7487,159950,3.16%,72.82%,83.17%,64.10%,63.15%,78.25%,85.66%
C2-Image867986 & C4-Image867986,Som,ect3,0.294,0.731,144,314,373,-0.0572,-0.002,1,1,0.5912,0.5928,114935,2.27%,64.19%,66.11%,48.18%,46.69%,66.15%,67.55%
C3-Image867986 & C4-Image867986,Som,ect3,0.573,5.494,-282.7,101,272,0.3044,0.087,1,1,0.8199,0.731,185371,3.66%,86.91%,73.70%,70.28%,68.49%,89.30%,79.37%
C1-Image867986 & C2-Image867986,Som,end1,0.1,1023.552,-15765.8,7,-8601,0.095,0.05,1,1,1,0.9991,548103,10.82%,99.42%,99.28%,99.70%,99.53%,99.75%,99.53%
C1-Image867986 & C3-Image867986,Som,end1,0.141,99.222,-1467.6,7,-773,0.1346,0.038,1,1,1,0.9991,548103,10.82%,99.42%,99.28%,99.70%,99.51%,99.75%,99.51%
C1-Image867986 & C4-Image867986,Som,end1,0.251,151.241,-2046.9,6,-1139,0.2486,0.053,1,1,1,0.9997,551281,10.88%,99.90%,99.85%,99.95%,99.92%,99.96%,99.92%
C2-Image867986 & C3-Image867986,Som,end1,0.723,0.101,58.5,206,79,0.6318,0.111,1,1,0.8853,0.9098,377786,7.46%,83.16%,93.43%,86.95%,83.74%,90.58%,95.46%
C2-Image867986 & C4-Image867986,Som,end1,0.191,0.081,323.4,770,386,0.013,-0.007,1,1,0.4703,0.3157,78897,1.56%,49.53%,34.19%,28.05%,20.15%,50.00%,34.26%
C3-Image867986 & C4-Image867986,Som,end1,0.328,7.17,-487.4,13,-394,0.3265,-0.001,1,1,1,0.9999,551808,10.89%,99.98%,99.95%,99.99%,99.99%,100.00%,99.99%
C1-Image867986 & C2-Image867986,Som,end2,0.113,961.153,-14819.5,9,-6169,0.0935,0.029,1,1,1,0.9896,146784,2.90%,97.74%,96.14%,98.00%,97.35%,98.75%,97.35%
C1-Image867986 & C3-Image867986,Som,end2,0.143,108.331,-1606.3,7,-848,0.1372,0.008,1,1,1,0.9992,151661,2.99%,99.46%,99.33%,99.72%,99.55%,99.77%,99.55%
C1-Image867986 & C4-Image867986,Som,end2,0.236,142.499,-1938,9,-655,0.2056,0.075,1,1,1,0.9893,146784,2.90%,97.74%,96.14%,98.00%,97.25%,98.75%,97.25%
C2-Image867986 & C3-Image867986,Som,end2,0.778,0.113,63.7,207,87,0.6929,0.103,1,1,0.8804,0.8521,93004,1.84%,82.97%,89.16%,85.75%,78.38%,91.50%,92.06%
C2-Image867986 & C4-Image867986,Som,end2,0.193,0.066,305,735,354,-0.074,0.006,1,1,0.4964,0.3109,22678,0.45%,52.56%,34.30%,31.60%,20.15%,53.09%,33.60%
C3-Image867986 & C4-Image867986,Som,end2,0.321,5.453,-350.5,19,-247,0.3168,0.052,1,1,1,0.9997,152341,3.01%,99.93%,99.77%,99.97%,99.95%,99.99%,99.95%
C1-Image867986 & C2-Image867986,Som,end3,0.129,787.972,-11217.6,7,-5702,0.1245,0.023,1,1,1,0.9991,325984,6.43%,99.40%,99.25%,99.68%,99.50%,99.74%,99.50%
C1-Image867986 & C3-Image867986,Som,end3,0.154,91.242,-1253.6,6,-706,0.1525,0.009,1,1,1,0.9997,327940,6.47%,99.90%,99.84%,99.94%,99.90%,99.96%,99.90%
C1-Image867986 & C4-Image867986,Som,end3,0.199,190.357,-2503.4,7,-1171,0.1933,-0.002,1,1,1,0.9989,325984,6.43%,99.40%,99.25%,99.68%,99.46%,99.74%,99.46%
C2-Image867986 & C3-Image867986,Som,end3,0.745,0.103,52.8,249,79,0.6311,0.172,1,1,0.8716,0.8762,210361,4.15%,83.69%,91.19%,84.91%,80.76%,90.32%,93.87%
C2-Image867986 & C4-Image867986,Som,end3,0.22,0.094,295.2,590,351,-0.0706,-0.003,1,1,0.5108,0.4627,74624,1.47%,54.65%,52.64%,38.82%,31.67%,55.17%,52.31%
C3-Image867986 & C4-Image867986,Som,end3,0.359,6.654,-413.2,14,-320,0.3584,0.112,1,1,1,0.9999,328269,6.48%,99.98%,99.94%,99.99%,99.98%,100.00%,99.98%
C1-Image867986 & C3-Image867986,Som,mes1,0.074,30.043,-949.5,255,6711,NaN,0.074,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C2-Image867986 & C3-Image867986,Som,mes1,0.517,0.1,65.1,208,86,0.3557,0.03,1,1,0.7275,0.8025,120852,2.39%,71.73%,86.39%,69.14%,66.80%,77.58%,87.91%
C2-Image867986 & C4-Image867986,Som,mes1,0.276,0.269,241.3,370,341,0.0386,0,1,1,0.5171,0.4429,51402,1.01%,56.29%,50.38%,36.97%,31.24%,58.08%,50.90%
C3-Image867986 & C4-Image867986,Som,mes1,0.407,7.601,-435.3,19,-291,0.4051,0.036,1,1,1,0.9998,232859,4.60%,99.97%,99.91%,99.99%,99.97%,100.00%,99.97%
C2-Image867986 & C3-Image867986,Som,mes2,0.533,0.105,69.4,196,90,0.3698,0.091,1,1,0.7586,0.8341,76452,1.51%,72.85%,87.44%,72.14%,69.91%,78.78%,89.26%
C2-Image867986 & C4-Image867986,Som,mes2,0.289,0.276,242.9,196,297,0.0308,0.009,1,1,0.6648,0.8176,68105,1.34%,64.90%,85.95%,63.10%,64.13%,68.90%,86.64%
C3-Image867986 & C4-Image867986,Som,mes2,0.397,7.603,-481.8,15,-368,0.3949,0.011,1,1,1,0.9999,138894,2.74%,99.96%,99.92%,99.99%,99.99%,100.00%,99.99%
C1-Image867986 & C2-Image867986,Som,mes3,0.022,593.688,-21579.4,255,129811,NaN,0.022,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C1-Image867986 & C3-Image867986,Som,mes3,0.085,25.611,-833.6,255,5697,NaN,0.085,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C2-Image867986 & C3-Image867986,Som,mes3,0.54,0.107,72.5,261,101,0.3726,0.107,1,1,0.7169,0.7311,62306,1.23%,71.57%,78.88%,64.88%,59.79%,76.77%,80.85%
C2-Image867986 & C4-Image867986,Som,mes3,0.279,0.242,263.2,348,348,0.0164,-0.002,1,1,0.5425,0.5219,36209,0.71%,57.16%,57.46%,41.72%,36.81%,59.00%,58.36%
C3-Image867986 & C4-Image867986,Som,mes3,0.373,7.532,-501.6,15,-389,0.3712,-0.029,1,1,1,0.9999,134394,2.65%,99.97%,99.92%,99.99%,99.98%,100.00%,99.98%
C1-Image393915 & C2-Image393915,Som,ect1,0.023,4065.559,-28052.9,6,-3660,0.0174,0.004,1,1,1,0.7674,163397,3.23%,84.74%,64.65%,76.50%,65.17%,89.17%,65.17%
C1-Image393915 & C3-Image393915,Som,ect1,0.038,379.505,-2584.5,6,-308,0.0283,0.005,0.9999,1,1,0.7692,163397,3.23%,84.74%,64.65%,76.50%,65.40%,89.17%,65.40%
C1-Image393915 & C4-Image393915,Som,ect1,0.047,907.933,-6134.5,6,-687,0.0328,0.004,1,1,1,0.77,163397,3.23%,84.74%,64.65%,76.50%,65.51%,89.17%,65.51%
C2-Image393915 & C3-Image393915,Som,ect1,0.603,0.094,33.9,307,63,0.4432,0,1,1,0.6621,0.692,99671,1.97%,68.21%,74.55%,57.96%,57.21%,74.46%,79.09%
C2-Image393915 & C4-Image393915,Som,ect1,0.289,0.148,161.1,437,226,0.0166,-0.009,1,1,0.4809,0.4083,49231,0.97%,55.79%,48.97%,33.20%,28.80%,58.06%,50.01%
C3-Image393915 & C4-Image393915,Som,ect1,0.378,6.566,-251.8,71,214,0.0882,0.003,1,1,0.5377,0.5091,67737,1.34%,61.73%,60.23%,41.27%,38.62%,64.91%,62.04%
C1-Image393915 & C2-Image393915,Som,ect2,0.024,4474.828,-30945.8,4,-13046,0.0213,0.01,1,1,1,0.9654,451752,8.92%,96.00%,92.55%,96.59%,92.76%,97.93%,92.76%
C1-Image393915 & C3-Image393915,Som,ect2,0.036,465.283,-3192,4,-1331,0.0334,0.001,0.9998,1,1,0.9657,451752,8.92%,96.00%,92.55%,96.59%,92.79%,97.93%,92.79%
C1-Image393915 & C4-Image393915,Som,ect2,0.052,843.486,-5695.4,6,-634,0.0397,0.006,1,1,1,0.7735,317735,6.27%,85.09%,65.09%,76.92%,66.06%,89.46%,66.06%
C2-Image393915 & C3-Image393915,Som,ect2,0.652,0.098,27.8,258,53,0.5178,0.011,0.9999,1,0.7069,0.741,208776,4.12%,70.56%,77.56%,63.71%,63.61%,78.13%,82.92%
C2-Image393915 & C4-Image393915,Som,ect2,0.282,0.138,156.9,362,207,-0.0117,0,1,1,0.5217,0.4748,117804,2.33%,60.80%,57.38%,40.19%,35.90%,62.23%,58.51%
C3-Image393915 & C4-Image393915,Som,ect2,0.374,6.601,-220,50,110,0.2052,-0.011,1,0.9999,0.9182,0.6764,263201,5.20%,90.98%,62.60%,74.75%,64.24%,93.53%,68.00%
C1-Image393915 & C2-Image393915,Som,ect3,0.024,4309.242,-29833.7,6,-3978,0.0189,0.01,1,1,1,0.7679,246906,4.87%,85.32%,65.01%,76.87%,65.67%,89.63%,65.67%
C1-Image393915 & C3-Image393915,Som,ect3,0.034,371.555,-2548.9,4,-1063,0.0321,0.008,0.9996,1,1,0.9648,351214,6.93%,96.00%,92.48%,96.56%,92.72%,97.93%,92.72%
C1-Image393915 & C4-Image393915,Som,ect3,0.059,780.895,-5275.3,4,-2152,0.056,0.004,1,1,1,0.9655,351214,6.93%,96.00%,92.48%,96.56%,92.83%,97.93%,92.83%
C2-Image393915 & C3-Image393915,Som,ect3,0.69,0.087,23.2,271,47,0.6398,0.01,0.9998,1,0.6438,0.602,117148,2.31%,67.62%,64.61%,53.97%,50.70%,75.87%,72.04%
C2-Image393915 & C4-Image393915,Som,ect3,0.225,0.12,151.4,362,195,-0.07,0.001,1,1,0.4692,0.3555,62221,1.23%,56.46%,43.94%,32.11%,26.15%,57.83%,44.65%
C3-Image393915 & C4-Image393915,Som,ect3,0.294,11.011,-381.6,51,180,-0.0004,-0.011,1,0.9998,0.5324,0.489,93567,1.85%,60.58%,57.02%,40.66%,37.72%,63.72%,58.62%
C1-Image393915 & C2-Image393915,Som,end1,0.038,3504.501,-27500,6,-6473,0.0272,0.013,1,1,1,0.8794,104960,2.07%,91.03%,79.44%,88.13%,80.29%,94.30%,80.29%
C1-Image393915 & C3-Image393915,Som,end1,0.069,268.102,-2051.8,6,-443,0.0538,0.014,1,1,1,0.8808,104960,2.07%,91.03%,79.44%,88.13%,80.58%,94.30%,80.58%
C1-Image393915 & C4-Image393915,Som,end1,0.082,379.518,-2794.1,4,-1276,0.0766,-0.004,1,1,1,0.9846,126819,2.50%,97.61%,95.99%,98.39%,96.23%,98.93%,96.23%
C2-Image393915 & C3-Image393915,Som,end1,0.681,0.093,43.1,304,71,0.5693,-0.002,1,1,0.7622,0.7962,66713,1.32%,74.40%,84.02%,72.15%,69.88%,82.51%,87.79%
C2-Image393915 & C4-Image393915,Som,end1,0.317,0.077,200.8,541,242,0.0373,-0.001,1,1,0.548,0.4141,29221,0.58%,61.52%,48.45%,39.79%,30.33%,63.05%,50.44%
C3-Image393915 & C4-Image393915,Som,end1,0.37,3.321,-66.8,85,215,0.1013,-0.019,1,1,0.6699,0.5438,44688,0.88%,69.99%,57.67%,51.02%,43.41%,73.02%,60.00%
C1-Image393915 & C2-Image393915,Som,end2,0.049,2755.893,-21526.1,6,-4991,0.0344,0.006,1,1,1,0.8204,260626,5.14%,87.38%,70.88%,81.75%,72.17%,91.46%,72.17%
C1-Image393915 & C3-Image393915,Som,end2,0.064,321.347,-2478.8,6,-551,0.0458,0.01,0.9999,1,1,0.8217,260626,5.14%,87.38%,70.88%,81.75%,72.30%,91.46%,72.30%
C1-Image393915 & C4-Image393915,Som,end2,0.08,475.999,-3580,4,-1676,0.0764,-0.005,1,1,1,0.9754,345589,6.82%,96.55%,93.99%,97.38%,94.32%,98.32%,94.32%
C2-Image393915 & C3-Image393915,Som,end2,0.701,0.109,35.2,316,70,0.6023,0.01,1,1,0.7478,0.7919,176343,3.48%,72.45%,81.61%,69.32%,68.90%,80.70%,86.45%
C2-Image393915 & C4-Image393915,Som,end2,0.36,0.11,170.9,316,206,0.0806,-0.008,1,1,0.6671,0.7421,160031,3.16%,65.75%,79.73%,61.44%,58.56%,71.53%,81.09%
C3-Image393915 & C4-Image393915,Som,end2,0.465,3.116,-58.6,39,63,0.3787,-0.005,1,1,0.9897,0.9176,314560,6.21%,98.95%,88.11%,95.36%,91.56%,99.44%,92.10%
C1-Image393915 & C2-Image393915,Som,end3,0.038,3468.181,-23826.3,6,-3017,0.0293,-0.003,1,1,1,0.757,92642,1.83%,83.91%,62.72%,74.93%,63.77%,88.50%,63.77%
C1-Image393915 & C3-Image393915,Som,end3,0.053,394.842,-2686.9,6,-318,0.0409,0.007,0.9999,1,1,0.7594,92642,1.83%,83.91%,62.72%,74.93%,64.04%,88.50%,64.04%
C1-Image393915 & C4-Image393915,Som,end3,0.061,617.524,-4117.7,3,-2265,0.0559,-0.011,1,1,1,0.9951,141894,2.80%,96.58%,96.07%,98.48%,96.30%,98.62%,96.30%
C2-Image393915 & C3-Image393915,Som,end3,0.763,0.123,21.3,253,53,0.6957,-0.016,0.9999,1,0.7756,0.8246,75117,1.48%,73.89%,83.49%,72.74%,73.56%,82.95%,89.03%
C2-Image393915 & C4-Image393915,Som,end3,0.362,0.106,157,399,199,0.0814,-0.004,1,1,0.5918,0.4987,40118,0.79%,64.44%,57.09%,46.80%,38.72%,68.10%,59.74%
C3-Image393915 & C4-Image393915,Som,end3,0.468,2.784,-9.4,61,160,0.2868,-0.01,1,0.9999,0.7808,0.6108,63166,1.25%,81.85%,64.30%,65.06%,55.11%,85.29%,67.83%
C1-Image393915 & C2-Image393915,Som,mes1,0.091,673.487,-5699.4,6,-1658,0.0699,0.007,1,1,1,0.9164,678182,13.39%,92.95%,84.23%,91.81%,85.67%,95.94%,85.67%
C1-Image393915 & C3-Image393915,Som,mes1,0.206,68.789,-538.1,6,-125,0.1706,0.017,0.9997,1,1,0.9269,678182,13.39%,92.95%,84.23%,91.81%,87.21%,95.94%,87.21%
C1-Image393915 & C4-Image393915,Som,mes1,0.053,532.479,-4572.3,6,-1377,0.0312,0.016,1,1,1,0.9122,678182,13.39%,92.95%,84.23%,91.81%,85.04%,95.94%,85.04%
C2-Image393915 & C3-Image393915,Som,mes1,0.544,0.131,33.7,211,61,0.3991,-0.006,0.9999,1,0.7089,0.853,420443,8.30%,69.04%,88.41%,67.82%,73.21%,75.37%,90.66%
C2-Image393915 & C4-Image393915,Som,mes1,0.328,0.181,154.6,281,205,0.0473,-0.004,1,1,0.6138,0.6483,299484,5.91%,64.48%,70.95%,52.44%,50.14%,67.37%,72.04%
C3-Image393915 & C4-Image393915,Som,mes1,0.377,4.081,-110.6,5,-90,0.3734,-0.023,1,0.9999,1,0.9994,802906,15.85%,99.88%,99.72%,99.99%,99.89%,99.99%,99.89%
C1-Image393915 & C2-Image393915,Som,mes2,0.02,3071.615,-33380.8,6,-14951,0.012,0.001,1,1,1,0.9513,478374,9.44%,95.54%,90.65%,95.57%,90.99%,97.64%,90.99%
C1-Image393915 & C3-Image393915,Som,mes2,0.054,269.266,-2853.9,6,-1238,0.0398,0.008,0.9999,1,1,0.9531,478374,9.44%,95.54%,90.65%,95.57%,91.25%,97.64%,91.25%
C1-Image393915 & C4-Image393915,Som,mes2,0.005,4813.003,-52703,255,1174613,NaN,0.005,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C2-Image393915 & C3-Image393915,Som,mes2,0.559,0.136,52.7,301,94,0.4055,-0.001,1,1,0.6719,0.7167,222446,4.39%,68.33%,75.94%,59.22%,59.19%,73.95%,79.35%
C2-Image393915 & C4-Image393915,Som,mes2,0.226,0.111,194.8,482,248,-0.0152,0.005,1,1,0.4753,0.3179,81518,1.61%,54.20%,36.74%,26.86%,21.33%,55.02%,37.06%
C3-Image393915 & C4-Image393915,Som,mes2,0.349,3.697,-159.3,99,207,0.0815,-0.017,1,1,0.6817,0.5767,195735,3.86%,71.78%,61.72%,52.92%,47.06%,74.31%,63.09%
C1-Image393915 & C2-Image393915,Som,mes3,0.035,1763.939,-17253.4,6,-6670,0.0267,0,1,1,1,0.944,670667,13.24%,94.96%,89.35%,94.81%,89.79%,97.26%,89.79%
C1-Image393915 & C3-Image393915,Som,mes3,0.087,164.68,-1549.8,6,-562,0.0739,0.008,1,1,1,0.9467,670667,13.24%,94.96%,89.35%,94.81%,90.19%,97.26%,90.19%
C1-Image393915 & C4-Image393915,Som,mes3,0.009,2944.445,-29211.5,255,721622,NaN,0.009,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C2-Image393915 & C3-Image393915,Som,mes3,0.552,0.135,45.1,301,86,0.4064,-0.005,1,1,0.6294,0.6846,288637,5.70%,66.38%,74.96%,55.35%,56.00%,71.89%,78.19%
C2-Image393915 & C4-Image393915,Som,mes3,0.257,0.136,180.5,428,239,0.0155,0.004,1,1,0.4907,0.3673,137098,2.71%,56.24%,42.76%,30.64%,25.45%,57.54%,43.30%
C3-Image393915 & C4-Image393915,Som,mes3,0.361,3.913,-146.5,5,-127,0.3602,0.013,1,1,1,0.9999,750285,14.81%,99.98%,99.96%,100.00%,99.98%,100.00%,99.98%
