Images,Stage,Region,Rtotal,m,b,Ch1 thresh,Ch2 thresh,Rcoloc,R<threshold,M1,M2,tM1,tM2,Ncoloc,%Volume,%Ch1 Vol,%Ch2 Vol,%Ch1 Int,%Ch2 Int,%Ch1 Int > thresh,%Ch2 Int >thresh
C2-Image370919 & C3-Image370919,EHF,end3,0.713,0.099,66.1,230,89,0.6488,0.091,1,1,0.9087,0.9577,90967,1.80%,85.96%,96.68%,89.87%,88.52%,91.46%,97.57%
C2-Image370919 & C4-Image370919,EHF,end3,0.116,0.048,369.4,1089,422,-0.0822,-0.002,1,1,0.4142,0.1505,7346,0.15%,45.34%,16.53%,13.31%,8.49%,45.84%,16.29%
C3-Image370919 & C4-Image370919,EHF,end3,0.199,11.395,-1135.4,65,-395,0.1774,0.023,1,1,1,0.9553,108074,2.13%,99.65%,94.38%,97.80%,95.24%,99.84%,95.24%
C2-Image787105 & C3-Image787105,EHF,mes1,0.415,0.054,68.3,420,91,0.2052,0.009,1,1,0.568,0.5171,82704,1.63%,62.49%,60.37%,43.01%,37.54%,66.60%,62.33%
C2-Image787105 & C4-Image787105,EHF,mes1,0.228,0.216,332.9,472,435,-0.0619,-0.003,1,1,0.5055,0.3958,59349,1.17%,57.01%,46.06%,31.80%,26.89%,57.80%,46.15%
C3-Image787105 & C4-Image787105,EHF,mes1,0.304,15.197,-981.3,95,462,0.0709,0.035,1,1,0.4185,0.4675,59349,1.17%,48.96%,54.55%,27.25%,28.23%,49.77%,55.32%
C1-Image787105 & C3-Image787105,EHF,mes2,0.012,318.38,-6914.4,16,-1820,-0.0045,0.01,1,1,1,0.861,358792,7.08%,92.73%,79.58%,87.12%,79.92%,95.16%,79.92%
C2-Image787105 & C3-Image787105,EHF,mes2,0.462,0.063,61.6,382,86,0.3005,0.003,1,1,0.5953,0.5995,153772,3.04%,63.18%,67.79%,48.24%,44.11%,67.51%,70.00%
C2-Image787105 & C4-Image787105,EHF,mes2,0.21,0.212,334.6,509,442,-0.0349,0.001,1,1,0.468,0.3255,70947,1.40%,52.19%,37.29%,25.51%,20.70%,52.89%,37.35%
C3-Image787105 & C4-Image787105,EHF,mes2,0.272,16.614,-1065.2,80,264,0.1021,-0.035,1,1,0.9162,0.6359,246530,4.87%,92.11%,61.11%,66.31%,60.38%,93.02%,63.86%
C2-Image787105 & C3-Image787105,EHF,mes3,0.445,0.06,66,430,92,0.2837,0.009,1,1,0.5701,0.5063,82714,1.63%,63.31%,59.22%,42.75%,37.28%,67.44%,61.60%
C2-Image787105 & C4-Image787105,EHF,mes3,0.215,0.203,338.8,509,442,-0.0342,-0.001,1,1,0.482,0.3394,49692,0.98%,54.51%,39.56%,27.40%,22.32%,55.09%,39.56%
C3-Image787105 & C4-Image787105,EHF,mes3,0.288,15.258,-1001.3,94,433,0.0889,-0.027,1,1,0.4947,0.4951,73762,1.46%,56.03%,55.71%,32.96%,33.34%,57.01%,56.72%
C1-Image850925 & C2-Image850925,EHF,ect1,0.133,586.981,-8819.7,9,-3537,0.1142,0.066,1,1,1,0.9931,403161,7.96%,98.19%,97.15%,98.50%,97.90%,98.99%,97.90%
C1-Image850925 & C3-Image850925,EHF,ect1,0.168,93.324,-1356.2,6,-796,0.1664,0.056,1,1,1,0.9999,414728,8.19%,99.96%,99.94%,99.98%,99.97%,99.98%,99.97%
C1-Image850925 & C4-Image850925,EHF,ect1,0.214,247.295,-3503.7,8,-1525,0.2022,0.07,1,1,1,0.9977,410610,8.11%,99.33%,98.95%,99.51%,99.34%,99.67%,99.34%
C2-Image850925 & C3-Image850925,EHF,ect1,0.614,0.126,64.8,337,107,0.4196,0.21,1,1,0.7694,0.87,245837,4.85%,75.49%,91.97%,74.15%,74.89%,81.47%,93.67%
C2-Image850925 & C4-Image850925,EHF,ect1,0.37,0.39,230,399,386,0.0565,0.039,1,1,0.66,0.765,192609,3.80%,67.68%,82.52%,60.44%,61.85%,71.40%,83.52%
C3-Image850925 & C4-Image850925,EHF,ect1,0.522,6.047,-375.4,21,-248,0.521,-0.024,1,1,1,0.9999,414728,8.19%,99.98%,99.94%,99.99%,99.99%,100.00%,99.99%
C1-Image850925 & C2-Image850925,EHF,ect2,0.175,417.253,-5726.8,7,-2806,0.1691,0.001,1,1,1,0.9995,499889,9.87%,99.54%,99.45%,99.76%,99.66%,99.79%,99.66%
C1-Image850925 & C3-Image850925,EHF,ect2,0.216,69.792,-910.9,7,-422,0.2109,0,1,1,1,0.9994,499889,9.87%,99.54%,99.45%,99.76%,99.63%,99.79%,99.63%
C1-Image850925 & C4-Image850925,EHF,ect2,0.254,212.539,-2726.1,7,-1238,0.248,-0.005,1,1,1,0.9995,499889,9.87%,99.54%,99.45%,99.76%,99.66%,99.79%,99.66%
C2-Image850925 & C3-Image850925,EHF,ect2,0.635,0.135,64.4,337,110,0.4058,0.268,1,1,0.7638,0.8433,287261,5.67%,76.95%,91.29%,73.27%,73.12%,82.86%,93.09%
C2-Image850925 & C4-Image850925,EHF,ect2,0.465,0.539,175.1,299,336,0.1911,0.109,1,1,0.7736,0.8855,308214,6.08%,76.29%,92.76%,75.06%,77.68%,81.54%,94.24%
C3-Image850925 & C4-Image850925,EHF,ect2,0.575,5.917,-342.7,18,-236,0.5744,-0.042,1,1,1,1,502631,9.92%,100.00%,99.99%,100.00%,100.00%,100.00%,100.00%
C1-Image850925 & C2-Image850925,EHF,ect3,0.12,517.902,-7326.5,5,-4737,0.1195,-0.014,1,1,1,1,475537,9.39%,99.96%,99.96%,99.99%,99.98%,99.99%,99.98%
C1-Image850925 & C3-Image850925,EHF,ect3,0.188,65.166,-863.5,6,-472,0.1859,0.058,1,1,1,0.9998,475128,9.38%,99.91%,99.87%,99.95%,99.92%,99.97%,99.92%
C1-Image850925 & C4-Image850925,EHF,ect3,0.24,198.462,-2584.9,6,-1394,0.2382,0.012,1,1,1,0.9998,475128,9.38%,99.91%,99.87%,99.95%,99.94%,99.97%,99.94%
C2-Image850925 & C3-Image850925,EHF,ect3,0.62,0.126,58.3,295,95,0.4005,0.252,1,1,0.7567,0.8253,268226,5.29%,77.03%,89.61%,71.69%,71.04%,82.38%,91.45%
C2-Image850925 & C4-Image850925,EHF,ect3,0.463,0.575,138,295,308,0.1708,0.122,1,1,0.736,0.8259,263217,5.20%,75.59%,88.41%,69.46%,71.48%,79.83%,90.16%
C3-Image850925 & C4-Image850925,EHF,ect3,0.598,6.191,-313.8,19,-196,0.5967,0.012,1,1,1,0.9999,475418,9.38%,99.98%,99.94%,99.99%,99.99%,100.00%,99.99%
C1-Image850925 & C2-Image850925,EHF,end1,0.133,768.023,-10159.3,7,-4783,0.1263,0.047,1,1,1,0.9991,159458,3.15%,99.22%,99.07%,99.57%,99.36%,99.63%,99.36%
C1-Image850925 & C3-Image850925,EHF,end1,0.142,87.066,-1122.9,8,-426,0.1275,0.06,1,1,1,0.993,157102,3.10%,98.52%,97.60%,98.76%,98.13%,99.19%,98.13%
C1-Image850925 & C4-Image850925,EHF,end1,0.13,313.997,-4012,9,-1186,0.1089,0.052,1,1,1,0.9801,151310,2.99%,96.31%,94.01%,96.55%,94.74%,97.75%,94.74%
C2-Image850925 & C3-Image850925,EHF,end1,0.7,0.085,45.5,244,66,0.5897,0.159,1,1,0.8618,0.9241,111891,2.21%,81.37%,95.02%,84.62%,83.77%,88.33%,96.51%
C2-Image850925 & C4-Image850925,EHF,end1,0.249,0.117,314.6,579,382,-0.0304,0.003,1,1,0.5412,0.4563,38828,0.77%,57.91%,51.27%,38.84%,31.81%,59.30%,51.10%
C3-Image850925 & C4-Image850925,EHF,end1,0.362,8.431,-425.4,15,-299,0.3614,-0.038,1,1,1,1,160930,3.18%,99.99%,99.98%,100.00%,99.99%,100.00%,99.99%
C1-Image850925 & C2-Image850925,EHF,end2,0.128,750.649,-9907.1,6,-5403,0.1249,0.043,1,1,1,0.9998,156035,3.08%,99.88%,99.82%,99.93%,99.92%,99.95%,99.92%
C1-Image850925 & C3-Image850925,EHF,end2,0.133,100.018,-1291.3,6,-691,0.1287,0.048,1,1,1,0.9998,156035,3.08%,99.88%,99.82%,99.93%,99.91%,99.95%,99.91%
C1-Image850925 & C4-Image850925,EHF,end2,0.141,287.552,-3662.7,6,-1937,0.1371,0.009,1,1,1,0.9998,156035,3.08%,99.88%,99.82%,99.93%,99.90%,99.95%,99.90%
C2-Image850925 & C3-Image850925,EHF,end2,0.683,0.094,52.4,326,83,0.5438,0.183,1,1,0.82,0.8645,97000,1.91%,79.06%,90.05%,78.66%,76.14%,85.47%,92.06%
C2-Image850925 & C4-Image850925,EHF,end2,0.258,0.131,284.3,434,341,-0.0515,-0.001,1,1,0.59,0.6773,59034,1.17%,60.27%,73.08%,51.24%,49.20%,62.44%,73.17%
C3-Image850925 & C4-Image850925,EHF,end2,0.357,7.903,-498.4,17,-364,0.3547,-0.008,1,1,1,0.9999,156144,3.08%,99.96%,99.89%,99.98%,99.98%,99.99%,99.98%
C1-Image850925 & C2-Image850925,EHF,end3,0.206,476.202,-6101.8,7,-2768,0.1841,0.04,1,1,1,0.9984,238160,4.70%,98.60%,98.15%,99.14%,99.12%,99.31%,99.12%
C1-Image850925 & C3-Image850925,EHF,end3,0.209,57.712,-713,6,-367,0.2009,0.048,1,1,1,0.9993,241540,4.77%,99.71%,99.55%,99.82%,99.78%,99.88%,99.78%
C1-Image850925 & C4-Image850925,EHF,end3,0.232,171.543,-2044.6,7,-844,0.2062,0.059,1,1,1,0.9978,238160,4.70%,98.60%,98.15%,99.14%,98.91%,99.31%,98.91%
C2-Image850925 & C3-Image850925,EHF,end3,0.721,0.09,44,326,73,0.5558,0.304,1,1,0.8193,0.8395,142639,2.82%,81.25%,89.95%,78.62%,75.40%,86.95%,92.27%
C2-Image850925 & C4-Image850925,EHF,end3,0.353,0.167,262.4,434,335,-0.0112,0.1,1,1,0.6396,0.6551,93919,1.85%,66.55%,72.56%,55.52%,50.89%,68.65%,73.19%
C3-Image850925 & C4-Image850925,EHF,end3,0.447,6.8,-289,12,-207,0.4457,0.067,1,1,1,1,242460,4.79%,99.96%,99.92%,99.99%,99.99%,99.99%,99.99%
C1-Image850925 & C3-Image850925,EHF,mes1,0.035,120.822,-2336.4,10,-1128,0.03,0.002,1,1,1,0.9921,288036,5.69%,98.76%,97.92%,99.06%,98.06%,99.41%,98.06%
C2-Image850925 & C3-Image850925,EHF,mes1,0.487,0.061,54.2,303,72,0.2561,0.017,1,1,0.6944,0.7123,133375,2.63%,70.79%,78.30%,61.83%,57.49%,75.68%,80.35%
C2-Image850925 & C4-Image850925,EHF,mes1,0.368,0.394,238.6,303,358,0.0727,-0.008,1,1,0.6748,0.7107,132064,2.61%,70.10%,78.42%,60.39%,57.53%,73.91%,79.65%
C3-Image850925 & C4-Image850925,EHF,mes1,0.361,14.946,-788.7,75,332,0.0525,-0.009,1,1,0.7009,0.6067,121119,2.39%,76.67%,64.38%,52.91%,51.86%,78.09%,66.58%
C1-Image850925 & C3-Image850925,EHF,mes2,-0.008,-359.304,7986.7,255,-83636,NaN,-0.008,1,1,1,0,0,0.00%,NaN%,0.00%,0.00%,0.00%,NaN%,0.00%
C2-Image850925 & C3-Image850925,EHF,mes2,0.474,0.061,56.1,258,72,0.2611,-0.009,1,1,0.7081,0.811,96401,1.90%,68.85%,86.23%,66.05%,64.30%,74.53%,87.85%
C2-Image850925 & C4-Image850925,EHF,mes2,0.356,0.405,227.7,218,316,0.1083,-0.002,1,1,0.7584,0.8947,115178,2.27%,73.36%,93.12%,73.71%,75.27%,78.61%,94.06%
C3-Image850925 & C4-Image850925,EHF,mes2,0.357,14.888,-821.8,77,325,0.0306,-0.009,1,1,0.7023,0.6019,76198,1.50%,77.12%,63.82%,52.47%,51.62%,78.43%,66.04%
C1-Image850925 & C3-Image850925,EHF,mes3,-0.004,-610.856,13519.8,255,-142248,NaN,-0.004,1,1,1,0,0,0.00%,NaN%,0.00%,0.00%,0.00%,NaN%,0.00%
C2-Image850925 & C3-Image850925,EHF,mes3,0.469,0.061,55.6,290,73,0.2379,-0.008,1,1,0.6915,0.7361,93161,1.84%,69.88%,80.21%,62.17%,58.80%,74.75%,82.09%
C2-Image850925 & C4-Image850925,EHF,mes3,0.358,0.408,228,218,317,0.1122,-0.002,1,1,0.7558,0.8894,122278,2.41%,73.23%,92.74%,73.33%,74.59%,78.45%,93.69%
C3-Image850925 & C4-Image850925,EHF,mes3,0.357,14.845,-804.5,77,339,0.0314,-0.002,1,1,0.6649,0.5965,77291,1.53%,73.67%,64.25%,49.85%,49.57%,74.97%,66.23%
C1-Image948237 & C2-Image948237,Som,ect1,0.098,607.763,-7512.9,5,-4474,0.0963,-0.018,1,1,1,1,350650,6.92%,99.85%,99.84%,99.94%,99.91%,99.94%,99.91%
C1-Image948237 & C3-Image948237,Som,ect1,0.127,118.931,-1424.1,6,-711,0.1227,0.004,1,1,1,0.999,349376,6.90%,99.64%,99.48%,99.78%,99.65%,99.84%,99.65%
C1-Image948237 & C4-Image948237,Som,ect1,0.172,155.342,-1809.5,6,-877,0.1686,-0.001,1,1,1,0.999,349376,6.90%,99.64%,99.48%,99.78%,99.63%,99.84%,99.63%
C2-Image948237 & C3-Image948237,Som,ect1,0.675,0.178,52.9,223,93,0.4836,0.261,1,1,0.7965,0.8417,199301,3.93%,79.13%,90.23%,76.49%,75.01%,85.70%,92.89%
C2-Image948237 & C4-Image948237,Som,ect1,0.221,0.121,162.9,396,211,-0.03,0.006,1,1,0.491,0.4433,72962,1.44%,53.07%,49.62%,34.60%,30.47%,54.30%,49.73%
C3-Image948237 & C4-Image948237,Som,ect1,0.32,3.95,-271.9,12,-224,0.3194,-0.003,1,1,1,1,351152,6.93%,100.00%,99.98%,100.00%,100.00%,100.00%,100.00%
C1-Image948237 & C2-Image948237,Som,ect2,0.088,699.306,-8697,6,-4501,0.0838,0.008,1,1,1,0.9992,221232,4.37%,99.65%,99.50%,99.79%,99.68%,99.84%,99.68%
C1-Image948237 & C3-Image948237,Som,ect2,0.126,119.806,-1436.5,6,-718,0.1225,-0.006,1,1,1,0.9991,221232,4.37%,99.65%,99.50%,99.79%,99.66%,99.84%,99.66%
C1-Image948237 & C4-Image948237,Som,ect2,0.181,149.974,-1737.7,12,62,0.1091,-0.003,1,1,0.9753,0.704,112151,2.21%,75.90%,52.09%,60.98%,55.18%,80.67%,55.56%
C2-Image948237 & C3-Image948237,Som,ect2,0.682,0.175,52,167,81,0.5342,0.247,1,1,0.8547,0.9175,147902,2.92%,80.50%,94.89%,83.91%,83.24%,88.46%,96.65%
C2-Image948237 & C4-Image948237,Som,ect2,0.241,0.13,160.8,376,210,-0.033,0.006,1,1,0.5224,0.4959,54222,1.07%,56.31%,55.68%,39.56%,35.52%,58.00%,55.75%
C3-Image948237 & C4-Image948237,Som,ect2,0.345,3.775,-244.8,105,152,0.0962,0.036,1,1,0.7709,0.6153,97961,1.93%,83.23%,65.49%,62.15%,56.39%,85.09%,67.50%
C1-Image948237 & C2-Image948237,Som,ect3,0.102,622.325,-7691.2,6,-3957,0.0977,-0.056,1,1,1,0.9991,277934,5.49%,99.61%,99.44%,99.76%,99.67%,99.82%,99.67%
C1-Image948237 & C3-Image948237,Som,ect3,0.136,113.841,-1357.9,6,-675,0.1304,-0.044,1,1,1,0.9991,277934,5.49%,99.61%,99.44%,99.76%,99.65%,99.82%,99.65%
C1-Image948237 & C4-Image948237,Som,ect3,0.179,153.679,-1785.8,6,-864,0.1747,0.002,1,1,1,0.9989,277934,5.49%,99.61%,99.44%,99.76%,99.63%,99.82%,99.63%
C2-Image948237 & C3-Image948237,Som,ect3,0.697,0.176,51.8,167,81,0.5538,0.274,1,1,0.8646,0.9173,187829,3.71%,81.75%,94.76%,84.89%,83.86%,89.36%,96.56%
C2-Image948237 & C4-Image948237,Som,ect3,0.225,0.118,164.9,223,191,-0.0188,-0.008,1,1,0.5935,0.7811,117036,2.31%,58.44%,82.87%,55.49%,57.96%,61.75%,83.02%
C3-Image948237 & C4-Image948237,Som,ect3,0.319,4.012,-277.4,11,-233,0.3185,-0.028,1,1,1,1,279404,5.52%,99.98%,99.97%,100.00%,99.99%,100.00%,99.99%
C1-Image948237 & C2-Image948237,Som,end1,0.092,790.853,-9808.1,7,-4272,0.0738,0.061,1,1,1,0.9965,187662,3.70%,97.54%,96.86%,98.46%,98.15%,98.74%,98.15%
C1-Image948237 & C3-Image948237,Som,end1,0.108,136.572,-1654.4,7,-698,0.0873,0.056,1,1,1,0.9962,187662,3.70%,97.54%,96.86%,98.46%,98.05%,98.74%,98.05%
C1-Image948237 & C4-Image948237,Som,end1,0.303,97.41,-1029.3,13,237,0.1933,0.007,1,1,0.4564,0.6183,46335,0.91%,45.41%,57.90%,31.30%,38.83%,48.69%,61.14%
C2-Image948237 & C3-Image948237,Som,end1,0.779,0.16,45.1,141,68,0.6769,0.227,1,1,0.9008,0.9303,130513,2.58%,82.98%,95.30%,89.04%,87.14%,92.40%,97.41%
C2-Image948237 & C4-Image948237,Som,end1,0.203,0.098,190.5,335,223,-0.1176,0.011,1,1,0.5711,0.6083,60017,1.18%,58.66%,66.97%,49.85%,45.65%,60.26%,66.84%
C3-Image948237 & C4-Image948237,Som,end1,0.303,5.192,-391.2,12,-329,0.3021,0.064,1,1,1,0.9998,193551,3.82%,100.00%,99.90%,99.99%,99.98%,100.00%,99.98%
C1-Image948237 & C2-Image948237,Som,end2,0.124,566.683,-7326.6,6,-3926,0.1226,-0.023,1,1,1,0.9995,158794,3.13%,99.79%,99.70%,99.88%,99.81%,99.91%,99.81%
C1-Image948237 & C3-Image948237,Som,end2,0.121,97.698,-1236.8,13,33,0.0646,0.008,1,1,0.9842,0.6427,81920,1.62%,84.94%,52.44%,62.82%,55.65%,88.27%,55.87%
C1-Image948237 & C4-Image948237,Som,end2,0.439,81.184,-894.6,8,-245,0.4373,0.053,1,1,1,0.9896,152977,3.02%,97.58%,96.05%,97.94%,97.28%,98.67%,97.28%
C2-Image948237 & C3-Image948237,Som,end2,0.793,0.135,49.2,254,83,0.7105,0.184,1,1,0.8763,0.8948,104878,2.07%,83.82%,92.38%,85.54%,82.98%,91.03%,95.10%
C2-Image948237 & C4-Image948237,Som,end2,0.206,0.138,158.2,509,228,0.0304,-0.009,1,1,0.551,0.5741,45054,0.89%,58.15%,64.32%,46.24%,43.40%,61.19%,66.15%
C3-Image948237 & C4-Image948237,Som,end2,0.243,11.122,-1214.9,18,-1015,0.2425,-0.025,1,1,1,0.9999,159196,3.14%,99.98%,99.95%,99.99%,99.98%,100.00%,99.98%
C1-Image948237 & C2-Image948237,Som,end3,0.106,896.288,-11927,7,-5653,0.0949,0.061,1,1,1,0.9989,102105,2.02%,99.06%,98.83%,99.46%,99.34%,99.55%,99.34%
C1-Image948237 & C3-Image948237,Som,end3,0.135,146.62,-1905.7,8,-733,0.1134,0.109,1,1,1,0.9929,100336,1.98%,98.27%,97.12%,98.53%,98.11%,99.07%,98.11%
C1-Image948237 & C4-Image948237,Som,end3,0.191,129.678,-1570.5,15,375,0.1649,0.005,1,1,0.1314,0.4796,5736,0.11%,12.24%,46.97%,7.89%,10.95%,14.04%,48.33%
C2-Image948237 & C3-Image948237,Som,end3,0.679,0.144,57.3,246,93,0.5558,0.14,1,1,0.8565,0.9057,67806,1.34%,81.57%,92.70%,83.74%,83.17%,88.20%,95.36%
C2-Image948237 & C4-Image948237,Som,end3,0.096,0.027,228.4,1166,260,-0.0988,-0.002,1,1,0.3987,0.1218,5276,0.10%,45.39%,13.71%,12.36%,7.22%,45.12%,13.25%
C3-Image948237 & C4-Image948237,Som,end3,0.243,2.335,-98.2,152,257,0.0246,-0.013,1,1,0.4458,0.4168,18561,0.37%,48.02%,46.92%,30.49%,25.98%,50.64%,46.78%
C1-Image948237 & C4-Image948237,Som,mes1,0.011,976.16,-25160.2,255,223761,NaN,0.011,1,1,0,0,0,0.00%,NaN%,NaN%,0.00%,0.00%,NaN%,NaN%
C2-Image948237 & C3-Image948237,Som,mes1,0.573,0.146,70.6,186,98,0.4709,0.028,1,1,0.7516,0.8554,158521,3.13%,69.41%,87.98%,71.80%,71.51%,77.86%,90.22%
