Images,Stage,Region,Rtotal,m,b,Ch1 thresh,Ch2 thresh,Rcoloc,R<threshold,M1,M2,tM1,tM2,Ncoloc,%Volume,%Ch1 Vol,%Ch2 Vol,%Ch1 Int,%Ch2 Int,%Ch1 Int > thresh,%Ch2 Int >thresh
C2-Image196255 & C4-Image196255,Som,mes2,0.014,24.647,-4245.7,43,-3186,0.0118,0.006,1,1,1,0.9928,226289,4.47%,99.87%,99.06%,99.81%,99.16%,99.97%,99.16%
C3-Image196255 & C4-Image196255,Som,mes2,0.074,140.119,-4870.4,11,-3329,0.0734,-0.013,1,1,1,0.9999,228329,4.51%,99.97%,99.95%,99.99%,99.97%,99.99%,99.97%
C1-Image196255 & C4-Image196255,Som,mes3,0.563,3.091,-169.9,107,161,0.1184,0.18,1,1,0.9387,0.8888,133431,2.63%,96.91%,85.99%,89.38%,88.07%,97.84%,92.51%
C2-Image196255 & C3-Image196255,Som,mes3,0.6,0.068,21.1,162,32,0.4597,0.007,1,1,0.6754,0.6348,71570,1.41%,68.75%,69.52%,56.36%,49.98%,74.68%,73.62%
C1-Image682638 & C3-Image682638,EHF,mes1,0.047,0.002,18.5,470,20,-0.0169,0.005,1,1,0.4267,0.0418,6970,0.14%,36.78%,3.70%,3.66%,2.01%,36.82%,3.76%
C1-Image682638 & C4-Image682638,EHF,mes1,0.302,0.823,-13.9,251,193,-0.0419,0.015,1,1,0.431,0.5132,96349,1.90%,49.44%,60.05%,31.46%,38.20%,49.78%,61.85%
C2-Image682638 & C3-Image682638,EHF,mes1,0.148,0.02,16.5,169,20,0.0353,0.011,1,1,0.4351,0.1498,26843,0.53%,41.60%,14.25%,9.83%,7.99%,42.15%,14.94%
C2-Image682638 & C4-Image682638,EHF,mes1,0.015,152.414,-18722.3,564,67239,NaN,0.015,1,1,0,0,0,0.00%,0.00%,NaN%,0.00%,0.00%,0.00%,NaN%
C3-Image682638 & C4-Image682638,EHF,mes1,0.368,53.056,-831.1,19,177,0.0428,0,1,1,0.4368,0.5984,105459,2.08%,47.37%,60.22%,30.64%,40.31%,50.25%,61.92%
C1-Image682638 & C3-Image682638,EHF,mes2,0.05,0.002,19.4,443,20,-0.0231,0,1,1,0.5462,0.0579,5200,0.10%,47.66%,5.16%,6.03%,3.37%,47.44%,5.26%
C1-Image682638 & C4-Image682638,EHF,mes2,0.408,1.025,-2.1,150,152,0.0246,0.003,1,1,0.807,0.8613,118491,2.34%,83.40%,88.27%,77.19%,80.01%,84.21%,91.74%
C2-Image682638 & C3-Image682638,EHF,mes2,0.086,0.013,18.4,189,21,0.0337,0.005,1,1,0.4805,0.075,5763,0.11%,42.18%,6.46%,5.35%,3.98%,42.45%,6.83%
C3-Image682638 & C4-Image682638,EHF,mes2,0.258,82.815,-1413.3,18,77,0.1166,0.002,1,1,0.9596,0.7347,113632,2.24%,88.28%,63.30%,70.25%,66.76%,90.66%,67.57%
C1-Image682638 & C3-Image682638,EHF,mes3,0.092,0.004,19,373,21,-0.0398,0.002,1,1,0.5126,0.1215,13429,0.27%,44.14%,10.76%,10.70%,6.64%,43.98%,11.01%
C1-Image682638 & C4-Image682638,EHF,mes3,0.488,0.885,22.1,118,126,0.1494,0.01,1,1,0.8667,0.8644,166930,3.30%,88.16%,86.42%,82.92%,82.46%,89.93%,90.94%
C2-Image682638 & C3-Image682638,EHF,mes3,0.139,0.019,17.5,169,21,0.0403,-0.01,1,1,0.5071,0.1787,19893,0.39%,45.39%,15.94%,12.43%,10.02%,46.00%,16.64%
C3-Image682638 & C4-Image682638,EHF,mes3,0.241,82.646,-1430.9,7,-852,0.2394,0.008,1,1,1,0.9999,255506,5.04%,99.88%,99.86%,99.95%,99.93%,99.96%,99.93%
C1-Image220725 & C4-Image220725,EHF,mes1,0.242,0.651,16.3,268,191,-0.1301,-0.009,1,1,0.4455,0.4655,94620,1.87%,50.51%,53.55%,29.72%,33.55%,50.81%,53.82%
C2-Image220725 & C3-Image220725,EHF,mes1,0.005,0.001,20.9,1054,22,NaN,0.005,1,1,0.4156,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C3-Image220725 & C4-Image220725,EHF,mes1,0.32,39.63,-651.2,9,-295,0.3168,0,1,1,1,0.9991,456202,9.01%,99.63%,99.46%,99.79%,99.71%,99.85%,99.71%
C1-Image220725 & C4-Image220725,EHF,mes2,0.252,0.492,112.8,127,175,-0.0292,0.009,1,1,0.8042,0.9393,169268,3.34%,79.20%,96.15%,79.18%,83.13%,81.77%,97.15%
C2-Image220725 & C3-Image220725,EHF,mes2,0.009,0.001,23.8,772,25,NaN,0.009,1,1,0.3826,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C3-Image220725 & C4-Image220725,EHF,mes2,0.056,187.255,-4248.1,11,-2188,0.0529,0.014,1,1,1,0.9975,235836,4.66%,99.58%,99.29%,99.70%,99.40%,99.81%,99.40%
C1-Image220725 & C4-Image220725,EHF,mes3,0.127,0.26,94.1,339,182,-0.0655,-0.001,1,1,0.3551,0.2295,15373,0.30%,36.89%,24.94%,12.65%,12.92%,36.11%,24.14%
C2-Image220725 & C3-Image220725,EHF,mes3,0.007,0.001,19.9,1054,21,NaN,0.007,1,1,0.4299,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C3-Image220725 & C4-Image220725,EHF,mes3,0.318,43.216,-700.3,9,-311,0.3152,-0.018,1,1,1,0.9989,187823,3.71%,99.61%,99.43%,99.76%,99.63%,99.83%,99.63%
C1-Image498454 & C3-Image498454,EHF,mes1,0.03,0.002,17.7,381,18,0.0081,-0.002,1,1,0.5237,0.0284,2923,0.06%,44.25%,2.41%,2.66%,1.54%,44.39%,2.47%
C1-Image498454 & C4-Image498454,EHF,mes1,0.236,0.448,49.1,229,152,-0.1121,0.011,1,1,0.3791,0.3905,36545,0.72%,44.74%,47.05%,22.41%,24.41%,45.17%,48.14%
