Tracks	Mother-Daughter Distance	Daughter-Daugther Distance
0	12.7442123726812	
0	51.3508876067396	62.6662549144274
1	94.608016393961	
1	62.5636702088361	62.3736444662327
2	113.769291713538	
2	22.7054758593605	123.339693031076
3	83.2153078766159	
3	55.6690766943372	122.580304229513
4	80.7994737420981	
4	76.6477279506705	99.3953935401435
5	93.201307683959	
5	124.652772825156	69.8269103498071
6	116.549711775705	
6	89.1817799889643	94.192035294923
7	84.6980651608996	
7	146.795152855944	67.8682283988614
8	106.575789638173	
8	127.567415514308	149.025092444192
9	108.011264921766	
9	123.373226759293	66.1918708075244
11	81.3949887462368	
11	125.138917663531	76.2495763857085
12	65.2610648779195	
12	74.3393400360806	53.5129651766747
13	126.680191138946	
13	138.213920315575	40.5828724217496
14	102.392577426296	
14	88.2659326637405	29.4991136307517
15	57.7323211468238	
15	51.222989311441	63.2899050797202
16	36.2067324402521	
16	44.3681257774091	40.0719980659812
17	120.984322612477	
17	80.1509987648313	50.8319359556569
18	69.7915828234324	
18	61.8943672477553	64.3748447299099
19	53.9677167480709	
19	50.5492753855087	49.7672141173284
20	101.888598866605	
20	88.321771913838	42.8697743054473
21	123.144482255601	
21	80.4433107349517	72.8053007410861
22	131.857373498792	
22	124.617281851275	54.6754547306193
23	70.7664320776454	
23	55.7448342539468	92.0330795475193
24	130.499239426903	
24	46.5845392485532	122.438260694932
25	19.987464096278	
25	44.8525296611016	45.8239528631042
26	36.7650113423075	
26	50.1980969559605	39.7788722439438
27	36.8873538492529	
27	8.83932712371251	30.4243964278669
28	48.6601712902862	
28	13.4440436253383	51.5909119419302
29	49.798374732515	
29	65.248780808533	54.0958753788123
30	78.5175391998502	
30	70.1162129824478	89.740148701682
