Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
42	175.553	323.338	274.474	10.000	7	262.484	332.391	309.018	10.000	148	93.980016524791	11.4476081849704	177.900709219858	EM
43	173.108	322.793	276.806	10.000	7	254.321	297.192	317.783	10.000	148	94.4990851754661	11.9782127572058	200.41134751773	EM
44	171.960	320.696	278.355	10.000	7	243.371	305.402	317.168	10.000	148	82.7036052781256	11.4879835578854	203.489361702128	EM
45	93.696	221.926	191.874	10.000	40	75.980	233.685	172.437	10.000	148	28.808465873767	5.61430700347279	175.731481481481	EM
46	165.295	331.600	271.766	10.000	16	252.734	308.759	310.547	10.000	148	98.3425440132601	12.0121008479679	204.431818181818	EM
47	272.921	192.288	271.776	10.000	0	295.892	197.457	270.627	10.000	148	23.573408811625	3.97818677008101	113.668918918919	EM
48	287.435	249.335	256.263	10.000	0	326.083	243.801	235.860	10.000	148	44.436340364616	6.11129094148995	94.2567567567568	EM
49	292.481	256.029	264.860	10.000	0	314.150	253.045	257.566	10.000	148	27.6479206089717	5.41931406752035	109.290540540541	EM
50	292.996	254.634	270.830	10.000	0	317.465	246.718	258.051	10.000	148	28.7175531339284	5.63275105349138	109.277027027027	EM
51	263.757	276.828	277.593	10.000	0	316.920	272.016	266.019	10.000	148	54.6206681486047	7.30872749844947	141.067567567568	EM
52	267.071	276.374	295.219	10.000	0	311.828	254.120	277.029	10.000	148	53.1912179311585	5.77976456620266	151.317567567568	EM
53	259.673	283.955	304.174	10.000	0	307.535	270.631	281.842	10.000	148	54.47034279312	6.90252477248683	151.527027027027	EM
54	245.981	290.346	311.028	10.000	0	296.065	318.611	284.140	10.000	148	63.4845006674858	7.51556842384128	156.824324324324	EM
55	250.353	266.953	312.153	10.000	0	307.009	250.791	287.512	10.000	148	63.8615021824573	6.09679318266718	159.945945945946	EM
56	233.548	266.421	320.512	10.000	0	288.253	254.166	300.328	10.000	148	59.5836882544208	6.50107298762017	180.168918918919	EM
57	225.069	208.146	121.063	10.000	10	226.301	209.990	84.962	10.000	148	36.169052531135	4.35807924710724	206.007246376812	EM
58	151.240	155.508	168.205	10.000	0	111.061	184.958	112.564	10.000	148	74.6831669253521	6.13639543168704	161.256756756757	EM
59	106.538	259.141	148.063	10.000	25	167.946	289.498	81.394	10.000	148	95.5889401238448	9.77624280359326	235.341463414634	EM
60	135.482	320.988	278.247	10.000	29	223.940	337.198	315.481	10.000	148	97.3342314912898	11.5557251534153	207.705882352941	EM
61	139.462	318.219	281.098	10.000	29	244.899	320.275	321.383	10.000	148	112.889633403604	12.9391402999138	216.512605042017	EM
62	251.867	184.981	290.342	10.000	0	280.900	172.359	288.346	10.000	148	33.0158293701673	3.94516788731443	106.364864864865	EM
63	262.278	204.579	295.113	10.000	0	287.966	209.428	281.901	10.000	148	29.2906655608916	4.2116504196425	140.459459459459	EM
64	279.457	238.251	294.283	10.000	0	312.361	236.308	276.677	10.000	148	37.3686994823208	4.83363859197113	127.864864864865	EM
